DATE,ALSTHPI
1975-01-01,75.03
1975-04-01,72.23
1975-07-01,74.54
1975-10-01,71.72
1976-01-01,77.11
1976-04-01,74.22
1976-07-01,77.28
1976-10-01,79.71
1977-01-01,81.22
1977-04-01,83.7
1977-07-01,88.27
1977-10-01,89.19
1978-01-01,88.52
1978-04-01,88.58
1978-07-01,96.68
1978-10-01,96.3
1979-01-01,99.41
1979-04-01,100.19
1979-07-01,101.77
1979-10-01,107.85
1980-01-01,100.00
1980-04-01,103.01
1980-07-01,109.9
1980-10-01,108.9
1981-01-01,105.4
1981-04-01,109.03
1981-07-01,112.35
1981-10-01,106.67
1982-01-01,109.18
1982-04-01,107.03
1982-07-01,107.67
1982-10-01,115.51
1983-01-01,114.58
1983-04-01,114.47
1983-07-01,116.86
1983-10-01,113.7
1984-01-01,123.54
1984-04-01,120.17
1984-07-01,124.8
1984-10-01,121.26
1985-01-01,121.41
1985-04-01,124.61
1985-07-01,127.39
1985-10-01,128.3
1986-01-01,129.54
1986-04-01,131.88
1986-07-01,133.36
1986-10-01,135.94
1987-01-01,138.06
1987-04-01,139.13
1987-07-01,139.7
1987-10-01,138.35
1988-01-01,142.0
1988-04-01,143.1
1988-07-01,142.66
1988-10-01,141.29
1989-01-01,141.48
1989-04-01,143.38
1989-07-01,145.54
1989-10-01,146.61
1990-01-01,145.49
1990-04-01,146.69
1990-07-01,147.29
1990-10-01,147.44
1991-01-01,148.73
1991-04-01,150.92
1991-07-01,151.77
1991-10-01,154.23
1992-01-01,155.49
1992-04-01,155.66
1992-07-01,158.61
1992-10-01,159.96
1993-01-01,161.04
1993-04-01,162.77
1993-07-01,165.68
1993-10-01,167.14
1994-01-01,168.23
1994-04-01,170.26
1994-07-01,170.98
1994-10-01,171.11
1995-01-01,172.68
1995-04-01,176.13
1995-07-01,178.91
1995-10-01,180.27
1996-01-01,183.44
1996-04-01,183.43
1996-07-01,183.8
1996-10-01,185.92
1997-01-01,188.06
1997-04-01,189.27
1997-07-01,192.2
1997-10-01,194.7
1998-01-01,197.91
1998-04-01,199.45
1998-07-01,201.63
1998-10-01,204.14
1999-01-01,204.79
1999-04-01,205.59
1999-07-01,205.97
1999-10-01,207.6
2000-01-01,208.35
2000-04-01,210.08
2000-07-01,211.72
2000-10-01,214.43
2001-01-01,220.67
2001-04-01,221.6
2001-07-01,223.19
2001-10-01,225.71
2002-01-01,226.1
2002-04-01,227.26
2002-07-01,230.64
2002-10-01,233.32
2003-01-01,235.69
2003-04-01,237.77
2003-07-01,239.38
2003-10-01,240.97
2004-01-01,243.18
2004-04-01,244.74
2004-07-01,249.25
2004-10-01,252.96
2005-01-01,256.23
2005-04-01,262.37
2005-07-01,267.88
2005-10-01,273.36
2006-01-01,278.85
2006-04-01,283.45
2006-07-01,288.02
2006-10-01,293.53
2007-01-01,295.48
2007-04-01,299.57
2007-07-01,300.26
2007-10-01,302.6
2008-01-01,304.53
2008-04-01,303.28
2008-07-01,301.0
2008-10-01,302.58
2009-01-01,304.76
2009-04-01,301.47
2009-07-01,294.29
2009-10-01,293.39
2010-01-01,289.16
2010-04-01,284.87
2010-07-01,288.71
2010-10-01,286.28
2011-01-01,278.78
2011-04-01,275.05
2011-07-01,277.27
2011-10-01,279.38
2012-01-01,276.49
2012-04-01,274.56
2012-07-01,276.46
2012-10-01,276.94
2013-01-01,274.17
2013-04-01,274.85
2013-07-01,274.28
2013-10-01,273.19
2014-01-01,274.9
2014-04-01,275.72
2014-07-01,278.7
2014-10-01,279.98
2015-01-01,283.0
2015-04-01,283.84
2015-07-01,285.55
2015-10-01,287.52
2016-01-01,288.04
2016-04-01,292.22
2016-07-01,296.84
2016-10-01,295.99
2017-01-01,297.54
2017-04-01,301.13
2017-07-01,304.01
2017-10-01,306.08
2018-01-01,309.53
2018-04-01,314.07
2018-07-01,317.02
2018-10-01,317.8
2019-01-01,323.63
2019-04-01,327.99
2019-07-01,332.74
2019-10-01,336.73
2020-01-01,340.47
2020-04-01,345.5
2020-07-01,351.89
2020-10-01,359.46
2021-01-01,366.77
2021-04-01,384.14
2021-07-01,405.86
2021-10-01,422.03
2022-01-01,434.59
2022-04-01,461.71
