DATE,ARSTHPI
1975-01-01,66.69
1975-04-01,60.33
1975-07-01,65.07
1975-10-01,62.63
1976-01-01,66.85
1976-04-01,68.62
1976-07-01,71.5
1976-10-01,72.27
1977-01-01,72.9
1977-04-01,75.09
1977-07-01,78.29
1977-10-01,81.0
1978-01-01,81.04
1978-04-01,83.63
1978-07-01,86.25
1978-10-01,86.29
1979-01-01,92.0
1979-04-01,94.81
1979-07-01,99.37
1979-10-01,101.52
1980-01-01,100.00
1980-04-01,101.02
1980-07-01,106.84
1980-10-01,109.07
1981-01-01,109.8
1981-04-01,106.48
1981-07-01,109.13
1981-10-01,102.97
1982-01-01,102.68
1982-04-01,106.08
1982-07-01,110.92
1982-10-01,108.52
1983-01-01,113.18
1983-04-01,116.39
1983-07-01,118.05
1983-10-01,118.26
1984-01-01,120.55
1984-04-01,118.89
1984-07-01,119.58
1984-10-01,121.01
1985-01-01,121.14
1985-04-01,119.87
1985-07-01,123.97
1985-10-01,124.29
1986-01-01,125.51
1986-04-01,128.64
1986-07-01,126.55
1986-10-01,128.12
1987-01-01,129.12
1987-04-01,130.64
1987-07-01,127.63
1987-10-01,124.13
1988-01-01,126.46
1988-04-01,127.48
1988-07-01,126.68
1988-10-01,126.18
1989-01-01,127.13
1989-04-01,126.83
1989-07-01,128.02
1989-10-01,127.08
1990-01-01,127.77
1990-04-01,127.97
1990-07-01,128.71
1990-10-01,128.21
1991-01-01,129.49
1991-04-01,130.16
1991-07-01,131.36
1991-10-01,133.62
1992-01-01,134.68
1992-04-01,134.05
1992-07-01,136.39
1992-10-01,137.04
1993-01-01,138.23
1993-04-01,140.51
1993-07-01,143.09
1993-10-01,144.81
1994-01-01,147.6
1994-04-01,148.86
1994-07-01,150.7
1994-10-01,151.76
1995-01-01,152.54
1995-04-01,156.71
1995-07-01,158.66
1995-10-01,159.47
1996-01-01,161.77
1996-04-01,162.07
1996-07-01,161.87
1996-10-01,163.55
1997-01-01,165.07
1997-04-01,166.57
1997-07-01,167.48
1997-10-01,169.72
1998-01-01,171.54
1998-04-01,171.52
1998-07-01,174.29
1998-10-01,176.22
1999-01-01,177.01
1999-04-01,177.23
1999-07-01,177.89
1999-10-01,178.55
2000-01-01,179.4
2000-04-01,181.14
2000-07-01,182.18
2000-10-01,184.65
2001-01-01,189.27
2001-04-01,190.39
2001-07-01,192.34
2001-10-01,194.29
2002-01-01,195.03
2002-04-01,195.91
2002-07-01,199.08
2002-10-01,201.56
2003-01-01,203.08
2003-04-01,204.39
2003-07-01,206.84
2003-10-01,209.98
2004-01-01,212.6
2004-04-01,216.11
2004-07-01,219.7
2004-10-01,223.54
2005-01-01,226.66
2005-04-01,231.91
2005-07-01,237.09
2005-10-01,240.32
2006-01-01,243.86
2006-04-01,247.2
2006-07-01,249.9
2006-10-01,252.06
2007-01-01,254.41
2007-04-01,255.91
2007-07-01,255.56
2007-10-01,256.74
2008-01-01,256.54
2008-04-01,255.74
2008-07-01,252.7
2008-10-01,254.04
2009-01-01,256.23
2009-04-01,253.06
2009-07-01,248.99
2009-10-01,247.95
2010-01-01,244.59
2010-04-01,245.38
2010-07-01,246.18
2010-10-01,245.12
2011-01-01,241.16
2011-04-01,239.5
2011-07-01,241.65
2011-10-01,242.86
2012-01-01,242.27
2012-04-01,239.81
2012-07-01,243.19
2012-10-01,244.73
2013-01-01,245.4
2013-04-01,245.84
2013-07-01,246.53
2013-10-01,246.08
2014-01-01,247.52
2014-04-01,247.51
2014-07-01,249.65
2014-10-01,252.41
2015-01-01,252.5
2015-04-01,253.31
2015-07-01,257.02
2015-10-01,258.97
2016-01-01,257.53
2016-04-01,261.45
2016-07-01,264.11
2016-10-01,265.64
2017-01-01,268.55
2017-04-01,269.93
2017-07-01,272.83
2017-10-01,275.21
2018-01-01,277.8
2018-04-01,280.59
2018-07-01,282.86
2018-10-01,285.17
2019-01-01,287.44
2019-04-01,290.94
2019-07-01,294.05
2019-10-01,296.8
2020-01-01,298.47
2020-04-01,300.93
2020-07-01,305.39
2020-10-01,312.93
2021-01-01,318.66
2021-04-01,335.02
2021-07-01,353.08
2021-10-01,368.25
2022-01-01,378.53
2022-04-01,405.11
