DATE,CASTHPI
1975-01-01,41.71
1975-04-01,42.74
1975-07-01,44.29
1975-10-01,45.77
1976-01-01,47.8
1976-04-01,50.26
1976-07-01,53.57
1976-10-01,55.58
1977-01-01,58.02
1977-04-01,63.01
1977-07-01,67.95
1977-10-01,70.68
1978-01-01,73.2
1978-04-01,75.99
1978-07-01,78.62
1978-10-01,81.81
1979-01-01,84.85
1979-04-01,88.63
1979-07-01,93.1
1979-10-01,96.4
1980-01-01,100.00
1980-04-01,102.86
1980-07-01,106.56
1980-10-01,108.38
1981-01-01,110.41
1981-04-01,112.94
1981-07-01,116.33
1981-10-01,117.53
1982-01-01,104.27
1982-04-01,107.43
1982-07-01,104.87
1982-10-01,115.86
1983-01-01,116.72
1983-04-01,117.43
1983-07-01,117.25
1983-10-01,117.77
1984-01-01,119.5
1984-04-01,120.14
1984-07-01,121.71
1984-10-01,122.79
1985-01-01,124.53
1985-04-01,126.33
1985-07-01,129.19
1985-10-01,130.6
1986-01-01,132.28
1986-04-01,134.83
1986-07-01,137.78
1986-10-01,141.13
1987-01-01,144.75
1987-04-01,148.31
1987-07-01,152.98
1987-10-01,157.29
1988-01-01,163.07
1988-04-01,169.77
1988-07-01,177.84
1988-10-01,187.56
1989-01-01,196.35
1989-04-01,206.01
1989-07-01,217.93
1989-10-01,224.76
1990-01-01,227.54
1990-04-01,228.26
1990-07-01,230.21
1990-10-01,228.67
1991-01-01,228.57
1991-04-01,227.16
1991-07-01,227.16
1991-10-01,228.84
1992-01-01,227.62
1992-04-01,225.27
1992-07-01,224.83
1992-10-01,222.73
1993-01-01,219.28
1993-04-01,217.4
1993-07-01,215.55
1993-10-01,214.27
1994-01-01,212.16
1994-04-01,207.02
1994-07-01,203.96
1994-10-01,201.07
1995-01-01,199.73
1995-04-01,201.63
1995-07-01,203.98
1995-10-01,203.65
1996-01-01,203.62
1996-04-01,201.04
1996-07-01,200.66
1996-10-01,201.7
1997-01-01,202.65
1997-04-01,204.7
1997-07-01,208.74
1997-10-01,212.38
1998-01-01,217.02
1998-04-01,221.76
1998-07-01,227.62
1998-10-01,232.01
1999-01-01,235.51
1999-04-01,239.52
1999-07-01,245.02
1999-10-01,250.22
2000-01-01,261.1
2000-04-01,268.11
2000-07-01,277.11
2000-10-01,285.69
2001-01-01,296.73
2001-04-01,305.8
2001-07-01,312.23
2001-10-01,316.62
2002-01-01,325.08
2002-04-01,336.11
2002-07-01,348.76
2002-10-01,358.96
2003-01-01,367.26
2003-04-01,374.14
2003-07-01,386.83
2003-10-01,411.57
2004-01-01,424.83
2004-04-01,451.44
2004-07-01,497.33
2004-10-01,516.45
2005-01-01,539.03
2005-04-01,570.61
2005-07-01,599.1
2005-10-01,625.84
2006-01-01,638.82
2006-04-01,644.68
2006-07-01,646.77
2006-10-01,643.05
2007-01-01,634.26
2007-04-01,623.62
2007-07-01,600.33
2007-10-01,575.87
2008-01-01,543.58
2008-04-01,498.68
2008-07-01,460.85
2008-10-01,444.98
2009-01-01,440.99
2009-04-01,420.87
2009-07-01,411.58
2009-10-01,412.9
2010-01-01,409.86
2010-04-01,408.66
2010-07-01,410.9
2010-10-01,406.37
2011-01-01,391.87
2011-04-01,385.59
2011-07-01,387.19
2011-10-01,386.01
2012-01-01,381.72
2012-04-01,382.35
2012-07-01,391.29
2012-10-01,399.6
2013-01-01,408.04
2013-04-01,426.77
2013-07-01,447.8
2013-10-01,462.65
2014-01-01,472.3
2014-04-01,485.07
2014-07-01,495.21
2014-10-01,500.83
2015-01-01,506.04
2015-04-01,517.42
2015-07-01,530.6
2015-10-01,537.92
2016-01-01,544.97
2016-04-01,554.61
2016-07-01,566.74
2016-10-01,573.58
2017-01-01,579.55
2017-04-01,591.6
2017-07-01,603.34
2017-10-01,612.01
2018-01-01,622.45
2018-04-01,634.28
2018-07-01,642.33
2018-10-01,642.24
2019-01-01,646.3
2019-04-01,652.92
2019-07-01,659.8
2019-10-01,664.07
2020-01-01,670.31
2020-04-01,677.97
2020-07-01,685.9
2020-10-01,700.02
2021-01-01,719.53
2021-04-01,762.29
2021-07-01,801.81
2021-10-01,834.34
2022-01-01,868.77
2022-04-01,924.45
