DATE,CTSTHPI
1975-01-01,62.06
1975-04-01,62.82
1975-07-01,61.79
1975-10-01,62.09
1976-01-01,64.75
1976-04-01,64.16
1976-07-01,67.25
1976-10-01,67.82
1977-01-01,64.22
1977-04-01,68.38
1977-07-01,71.43
1977-10-01,72.28
1978-01-01,73.6
1978-04-01,79.55
1978-07-01,87.07
1978-10-01,88.28
1979-01-01,95.39
1979-04-01,97.49
1979-07-01,100.41
1979-10-01,101.77
1980-01-01,100.00
1980-04-01,101.61
1980-07-01,103.72
1980-10-01,104.88
1981-01-01,104.4
1981-04-01,109.7
1981-07-01,114.27
1981-10-01,111.5
1982-01-01,111.78
1982-04-01,112.29
1982-07-01,111.02
1982-10-01,112.94
1983-01-01,118.71
1983-04-01,121.06
1983-07-01,122.47
1983-10-01,126.21
1984-01-01,131.1
1984-04-01,134.56
1984-07-01,140.24
1984-10-01,141.78
1985-01-01,148.35
1985-04-01,155.45
1985-07-01,160.02
1985-10-01,168.8
1986-01-01,174.48
1986-04-01,185.36
1986-07-01,199.34
1986-10-01,212.6
1987-01-01,224.87
1987-04-01,237.34
1987-07-01,250.13
1987-10-01,257.45
1988-01-01,263.33
1988-04-01,267.51
1988-07-01,265.75
1988-10-01,266.29
1989-01-01,261.68
1989-04-01,261.46
1989-07-01,262.29
1989-10-01,261.29
1990-01-01,257.4
1990-04-01,249.55
1990-07-01,246.99
1990-10-01,240.28
1991-01-01,239.88
1991-04-01,236.47
1991-07-01,233.77
1991-10-01,236.06
1992-01-01,237.07
1992-04-01,232.41
1992-07-01,233.23
1992-10-01,233.05
1993-01-01,229.43
1993-04-01,230.04
1993-07-01,230.02
1993-10-01,230.63
1994-01-01,228.68
1994-04-01,223.52
1994-07-01,220.6
1994-10-01,217.82
1995-01-01,216.61
1995-04-01,219.4
1995-07-01,224.73
1995-10-01,224.97
1996-01-01,227.9
1996-04-01,225.05
1996-07-01,221.78
1996-10-01,223.15
1997-01-01,224.45
1997-04-01,225.49
1997-07-01,228.09
1997-10-01,230.37
1998-01-01,235.88
1998-04-01,235.97
1998-07-01,239.46
1998-10-01,242.56
1999-01-01,245.84
1999-04-01,248.85
1999-07-01,253.62
1999-10-01,256.7
2000-01-01,261.46
2000-04-01,268.58
2000-07-01,274.36
2000-10-01,278.15
2001-01-01,285.03
2001-04-01,291.14
2001-07-01,298.28
2001-10-01,303.48
2002-01-01,309.98
2002-04-01,318.86
2002-07-01,327.53
2002-10-01,334.42
2003-01-01,338.65
2003-04-01,344.22
2003-07-01,352.45
2003-10-01,365.36
2004-01-01,371.7
2004-04-01,383.78
2004-07-01,403.21
2004-10-01,410.98
2005-01-01,421.4
2005-04-01,435.48
2005-07-01,447.63
2005-10-01,456.67
2006-01-01,462.64
2006-04-01,464.9
2006-07-01,465.34
2006-10-01,468.04
2007-01-01,471.11
2007-04-01,467.49
2007-07-01,463.74
2007-10-01,462.98
2008-01-01,462.47
2008-04-01,451.59
2008-07-01,437.66
2008-10-01,433.99
2009-01-01,437.44
2009-04-01,423.25
2009-07-01,412.53
2009-10-01,411.17
2010-01-01,406.39
2010-04-01,401.89
2010-07-01,406.43
2010-10-01,407.13
2011-01-01,396.64
2011-04-01,389.32
2011-07-01,390.49
2011-10-01,393.56
2012-01-01,386.98
2012-04-01,383.02
2012-07-01,384.04
2012-10-01,385.36
2013-01-01,383.48
2013-04-01,381.77
2013-07-01,381.36
2013-10-01,378.29
2014-01-01,376.97
2014-04-01,380.02
2014-07-01,382.64
2014-10-01,382.25
2015-01-01,387.1
2015-04-01,388.34
2015-07-01,386.02
2015-10-01,385.5
2016-01-01,385.78
2016-04-01,387.58
2016-07-01,391.02
2016-10-01,391.26
2017-01-01,385.94
2017-04-01,391.22
2017-07-01,393.65
2017-10-01,393.53
2018-01-01,391.91
2018-04-01,394.85
2018-07-01,398.51
2018-10-01,396.55
2019-01-01,398.66
2019-04-01,405.04
2019-07-01,409.56
2019-10-01,411.95
2020-01-01,413.62
2020-04-01,417.97
2020-07-01,427.02
2020-10-01,438.72
2021-01-01,450.17
2021-04-01,473.16
2021-07-01,499.31
2021-10-01,509.99
2022-01-01,522.99
2022-04-01,555.93
