DATE,DESTHPI
1975-01-01,77.16
1975-04-01,89.9
1975-07-01,115.96
1975-10-01,71.65
1976-01-01,79.6
1976-04-01,84.56
1976-07-01,80.57
1976-10-01,87.0
1977-01-01,90.34
1977-04-01,77.97
1977-07-01,81.05
1977-10-01,82.85
1978-01-01,85.44
1978-04-01,89.38
1978-07-01,85.47
1978-10-01,83.74
1979-01-01,86.4
1979-04-01,87.06
1979-07-01,95.22
1979-10-01,96.32
1980-01-01,100.00
1980-04-01,107.09
1980-07-01,109.95
1980-10-01,106.67
1981-01-01,109.35
1981-04-01,104.33
1981-07-01,116.17
1981-10-01,107.48
1982-01-01,102.39
1982-04-01,113.25
1982-07-01,113.31
1982-10-01,116.06
1983-01-01,116.63
1983-04-01,118.99
1983-07-01,122.42
1983-10-01,127.95
1984-01-01,125.3
1984-04-01,128.66
1984-07-01,131.86
1984-10-01,133.85
1985-01-01,136.9
1985-04-01,140.83
1985-07-01,143.29
1985-10-01,145.79
1986-01-01,151.14
1986-04-01,154.58
1986-07-01,159.33
1986-10-01,164.72
1987-01-01,171.24
1987-04-01,175.37
1987-07-01,182.46
1987-10-01,187.31
1988-01-01,190.1
1988-04-01,195.67
1988-07-01,201.31
1988-10-01,206.33
1989-01-01,209.69
1989-04-01,216.4
1989-07-01,221.52
1989-10-01,222.88
1990-01-01,226.28
1990-04-01,225.5
1990-07-01,223.83
1990-10-01,223.76
1991-01-01,227.16
1991-04-01,227.94
1991-07-01,227.96
1991-10-01,231.12
1992-01-01,231.1
1992-04-01,229.51
1992-07-01,230.67
1992-10-01,232.72
1993-01-01,231.38
1993-04-01,232.38
1993-07-01,231.89
1993-10-01,232.57
1994-01-01,231.6
1994-04-01,228.99
1994-07-01,226.63
1994-10-01,225.8
1995-01-01,226.4
1995-04-01,227.28
1995-07-01,231.01
1995-10-01,230.72
1996-01-01,233.79
1996-04-01,231.21
1996-07-01,232.16
1996-10-01,234.2
1997-01-01,234.07
1997-04-01,234.45
1997-07-01,236.51
1997-10-01,238.27
1998-01-01,242.12
1998-04-01,242.86
1998-07-01,244.07
1998-10-01,245.42
1999-01-01,249.36
1999-04-01,251.07
1999-07-01,255.18
1999-10-01,256.55
2000-01-01,260.7
2000-04-01,265.21
2000-07-01,270.27
2000-10-01,273.82
2001-01-01,279.69
2001-04-01,284.44
2001-07-01,290.12
2001-10-01,294.08
2002-01-01,299.17
2002-04-01,306.84
2002-07-01,314.66
2002-10-01,319.74
2003-01-01,324.46
2003-04-01,331.33
2003-07-01,338.96
2003-10-01,351.77
2004-01-01,362.82
2004-04-01,370.81
2004-07-01,393.12
2004-10-01,405.08
2005-01-01,416.25
2005-04-01,433.86
2005-07-01,453.59
2005-10-01,463.08
2006-01-01,472.46
2006-04-01,481.47
2006-07-01,486.12
2006-10-01,495.05
2007-01-01,495.3
2007-04-01,499.0
2007-07-01,494.05
2007-10-01,494.68
2008-01-01,491.3
2008-04-01,484.67
2008-07-01,473.46
2008-10-01,468.01
2009-01-01,470.42
2009-04-01,456.43
2009-07-01,445.46
2009-10-01,441.55
2010-01-01,438.71
2010-04-01,434.04
2010-07-01,433.71
2010-10-01,430.44
2011-01-01,419.77
2011-04-01,407.73
2011-07-01,403.85
2011-10-01,408.97
2012-01-01,405.82
2012-04-01,397.24
2012-07-01,400.18
2012-10-01,402.92
2013-01-01,403.04
2013-04-01,403.49
2013-07-01,405.08
2013-10-01,407.93
2014-01-01,407.03
2014-04-01,410.65
2014-07-01,415.65
2014-10-01,414.12
2015-01-01,421.01
2015-04-01,420.28
2015-07-01,422.91
2015-10-01,424.76
2016-01-01,425.52
2016-04-01,429.74
2016-07-01,434.35
2016-10-01,437.54
2017-01-01,436.22
2017-04-01,439.08
2017-07-01,439.97
2017-10-01,444.09
2018-01-01,450.34
2018-04-01,453.15
2018-07-01,455.17
2018-10-01,459.01
2019-01-01,461.79
2019-04-01,469.46
2019-07-01,474.96
2019-10-01,477.94
2020-01-01,483.97
2020-04-01,487.7
2020-07-01,497.72
2020-10-01,505.56
2021-01-01,521.11
2021-04-01,542.62
2021-07-01,569.23
2021-10-01,588.91
2022-01-01,606.02
2022-04-01,642.25
