DATE,FLSTHPI
1975-01-01,65.89
1975-04-01,83.46
1975-07-01,66.83
1975-10-01,68.26
1976-01-01,67.96
1976-04-01,75.99
1976-07-01,69.02
1976-10-01,70.29
1977-01-01,71.03
1977-04-01,79.07
1977-07-01,72.62
1977-10-01,74.82
1978-01-01,78.39
1978-04-01,83.37
1978-07-01,83.05
1978-10-01,84.67
1979-01-01,89.76
1979-04-01,92.44
1979-07-01,93.79
1979-10-01,98.02
1980-01-01,100.00
1980-04-01,99.72
1980-07-01,105.88
1980-10-01,108.72
1981-01-01,110.02
1981-04-01,112.28
1981-07-01,108.07
1981-10-01,104.74
1982-01-01,112.83
1982-04-01,114.68
1982-07-01,104.58
1982-10-01,112.72
1983-01-01,121.42
1983-04-01,123.75
1983-07-01,124.19
1983-10-01,124.51
1984-01-01,125.71
1984-04-01,126.81
1984-07-01,128.07
1984-10-01,126.41
1985-01-01,127.88
1985-04-01,128.19
1985-07-01,128.11
1985-10-01,129.85
1986-01-01,131.23
1986-04-01,134.69
1986-07-01,135.61
1986-10-01,135.8
1987-01-01,136.47
1987-04-01,138.62
1987-07-01,138.82
1987-10-01,139.85
1988-01-01,141.29
1988-04-01,144.25
1988-07-01,145.35
1988-10-01,146.57
1989-01-01,147.72
1989-04-01,148.67
1989-07-01,151.16
1989-10-01,152.3
1990-01-01,153.03
1990-04-01,152.5
1990-07-01,153.43
1990-10-01,152.86
1991-01-01,154.59
1991-04-01,155.05
1991-07-01,154.8
1991-10-01,157.49
1992-01-01,159.36
1992-04-01,157.93
1992-07-01,160.59
1992-10-01,160.67
1993-01-01,160.91
1993-04-01,162.63
1993-07-01,163.94
1993-10-01,165.54
1994-01-01,165.34
1994-04-01,164.21
1994-07-01,164.48
1994-10-01,164.45
1995-01-01,165.03
1995-04-01,167.27
1995-07-01,170.41
1995-10-01,171.76
1996-01-01,173.6
1996-04-01,172.54
1996-07-01,173.09
1996-10-01,174.03
1997-01-01,176.0
1997-04-01,175.96
1997-07-01,178.25
1997-10-01,181.32
1998-01-01,184.85
1998-04-01,184.65
1998-07-01,187.02
1998-10-01,189.75
1999-01-01,190.86
1999-04-01,192.36
1999-07-01,194.64
1999-10-01,197.0
2000-01-01,200.9
2000-04-01,204.46
2000-07-01,208.78
2000-10-01,213.15
2001-01-01,219.3
2001-04-01,224.82
2001-07-01,229.98
2001-10-01,235.52
2002-01-01,240.21
2002-04-01,247.53
2002-07-01,254.53
2002-10-01,260.28
2003-01-01,265.84
2003-04-01,272.26
2003-07-01,278.78
2003-10-01,291.76
2004-01-01,300.63
2004-04-01,314.76
2004-07-01,334.48
2004-10-01,349.78
2005-01-01,368.46
2005-04-01,396.02
2005-07-01,423.59
2005-10-01,445.9
2006-01-01,463.27
2006-04-01,473.18
2006-07-01,476.55
2006-10-01,479.81
2007-01-01,476.89
2007-04-01,470.61
2007-07-01,453.78
2007-10-01,442.46
2008-01-01,424.72
2008-04-01,395.42
2008-07-01,363.33
2008-10-01,344.78
2009-01-01,350.51
2009-04-01,332.57
2009-07-01,313.48
2009-10-01,305.57
2010-01-01,299.76
2010-04-01,291.43
2010-07-01,294.87
2010-10-01,289.55
2011-01-01,275.75
2011-04-01,267.37
2011-07-01,270.19
2011-10-01,272.59
2012-01-01,267.18
2012-04-01,265.22
2012-07-01,271.63
2012-10-01,275.33
2013-01-01,279.11
2013-04-01,288.42
2013-07-01,295.79
2013-10-01,303.39
2014-01-01,307.77
2014-04-01,316.06
2014-07-01,322.84
2014-10-01,328.7
2015-01-01,336.1
2015-04-01,344.35
2015-07-01,352.9
2015-10-01,359.81
2016-01-01,366.49
2016-04-01,375.8
2016-07-01,386.13
2016-10-01,392.5
2017-01-01,399.77
2017-04-01,409.57
2017-07-01,416.76
2017-10-01,424.89
2018-01-01,433.49
2018-04-01,441.75
2018-07-01,449.11
2018-10-01,452.56
2019-01-01,459.6
2019-04-01,465.55
2019-07-01,473.17
2019-10-01,479.33
2020-01-01,486.56
2020-04-01,492.67
2020-07-01,501.03
2020-10-01,514.58
2021-01-01,531.29
2021-04-01,565.94
2021-07-01,607.82
2021-10-01,642.13
2022-01-01,677.9
2022-04-01,733.88
