DATE,HISTHPI
1975-01-01,66.84
1975-04-01,53.84
1975-07-01,57.91
1975-10-01,55.31
1976-01-01,53.82
1976-04-01,56.93
1976-07-01,54.95
1976-10-01,56.7
1977-01-01,56.25
1977-04-01,58.9
1977-07-01,61.07
1977-10-01,62.97
1978-01-01,65.98
1978-04-01,65.31
1978-07-01,66.98
1978-10-01,75.09
1979-01-01,74.2
1979-04-01,82.16
1979-07-01,89.65
1979-10-01,92.85
1980-01-01,100.00
1980-04-01,101.72
1980-07-01,101.3
1980-10-01,107.8
1981-01-01,102.21
1981-04-01,98.1
1981-07-01,86.83
1981-10-01,49.27
1982-01-01,112.74
1982-04-01,104.14
1982-07-01,100.4
1982-10-01,85.19
1983-01-01,102.36
1983-04-01,106.38
1983-07-01,112.37
1983-10-01,106.28
1984-01-01,108.5
1984-04-01,113.5
1984-07-01,110.19
1984-10-01,109.2
1985-01-01,114.72
1985-04-01,113.03
1985-07-01,116.98
1985-10-01,118.01
1986-01-01,119.83
1986-04-01,120.15
1986-07-01,121.05
1986-10-01,123.95
1987-01-01,127.99
1987-04-01,131.01
1987-07-01,133.08
1987-10-01,136.09
1988-01-01,144.69
1988-04-01,151.66
1988-07-01,155.59
1988-10-01,166.82
1989-01-01,179.29
1989-04-01,183.85
1989-07-01,196.23
1989-10-01,203.14
1990-01-01,218.11
1990-04-01,231.67
1990-07-01,242.49
1990-10-01,251.78
1991-01-01,257.54
1991-04-01,260.15
1991-07-01,260.15
1991-10-01,263.96
1992-01-01,263.37
1992-04-01,262.86
1992-07-01,264.55
1992-10-01,265.45
1993-01-01,264.78
1993-04-01,266.09
1993-07-01,265.13
1993-10-01,266.49
1994-01-01,267.27
1994-04-01,264.32
1994-07-01,265.72
1994-10-01,258.79
1995-01-01,257.55
1995-04-01,261.2
1995-07-01,261.3
1995-10-01,262.6
1996-01-01,257.24
1996-04-01,251.65
1996-07-01,243.08
1996-10-01,239.68
1997-01-01,236.85
1997-04-01,230.51
1997-07-01,230.68
1997-10-01,229.83
1998-01-01,231.27
1998-04-01,231.11
1998-07-01,231.9
1998-10-01,231.14
1999-01-01,229.99
1999-04-01,228.21
1999-07-01,224.54
1999-10-01,224.56
2000-01-01,231.05
2000-04-01,230.67
2000-07-01,233.71
2000-10-01,239.13
2001-01-01,246.98
2001-04-01,250.61
2001-07-01,254.8
2001-10-01,258.81
2002-01-01,262.83
2002-04-01,268.74
2002-07-01,276.96
2002-10-01,280.57
2003-01-01,288.64
2003-04-01,295.61
2003-07-01,304.07
2003-10-01,321.31
2004-01-01,336.44
2004-04-01,355.74
2004-07-01,389.55
2004-10-01,403.76
2005-01-01,423.06
2005-04-01,447.91
2005-07-01,475.93
2005-10-01,502.76
2006-01-01,520.89
2006-04-01,525.52
2006-07-01,535.31
2006-10-01,533.62
2007-01-01,540.56
2007-04-01,541.93
2007-07-01,538.79
2007-10-01,536.76
2008-01-01,531.79
2008-04-01,520.75
2008-07-01,505.22
2008-10-01,496.12
2009-01-01,493.1
2009-04-01,472.47
2009-07-01,458.98
2009-10-01,452.45
2010-01-01,452.11
2010-04-01,448.97
2010-07-01,451.64
2010-10-01,451.92
2011-01-01,442.59
2011-04-01,443.08
2011-07-01,446.21
2011-10-01,446.1
2012-01-01,447.77
2012-04-01,444.51
2012-07-01,452.88
2012-10-01,457.29
2013-01-01,460.09
2013-04-01,470.23
2013-07-01,478.86
2013-10-01,490.2
2014-01-01,493.82
2014-04-01,500.98
2014-07-01,511.61
2014-10-01,518.42
2015-01-01,530.2
2015-04-01,533.94
2015-07-01,541.35
2015-10-01,548.65
2016-01-01,562.77
2016-04-01,565.71
2016-07-01,577.14
2016-10-01,582.58
2017-01-01,582.95
2017-04-01,590.95
2017-07-01,600.06
2017-10-01,603.43
2018-01-01,609.43
2018-04-01,615.71
2018-07-01,620.09
2018-10-01,623.01
2019-01-01,630.45
2019-04-01,632.38
2019-07-01,638.34
2019-10-01,643.8
2020-01-01,643.92
2020-04-01,652.15
2020-07-01,645.32
2020-10-01,656.05
2021-01-01,665.37
2021-04-01,699.87
2021-07-01,727.48
2021-10-01,762.95
2022-01-01,801.75
2022-04-01,849.52
