DATE,IDSTHPI
1975-01-01,70.11
1975-04-01,65.11
1975-07-01,56.48
1975-10-01,62.08
1976-01-01,56.47
1976-04-01,73.35
1976-07-01,64.21
1976-10-01,58.44
1977-01-01,72.92
1977-04-01,76.16
1977-07-01,77.81
1977-10-01,78.95
1978-01-01,89.95
1978-04-01,89.01
1978-07-01,92.26
1978-10-01,89.24
1979-01-01,98.97
1979-04-01,95.86
1979-07-01,99.23
1979-10-01,101.27
1980-01-01,100.00
1980-04-01,101.79
1980-07-01,106.26
1980-10-01,102.69
1981-01-01,110.15
1981-04-01,101.73
1981-07-01,102.92
1981-10-01,118.21
1982-01-01,94.17
1982-04-01,109.58
1982-07-01,104.49
1982-10-01,110.82
1983-01-01,110.58
1983-04-01,106.84
1983-07-01,106.83
1983-10-01,108.56
1984-01-01,110.32
1984-04-01,109.08
1984-07-01,110.56
1984-10-01,113.49
1985-01-01,108.28
1985-04-01,114.04
1985-07-01,115.16
1985-10-01,112.71
1986-01-01,115.34
1986-04-01,112.9
1986-07-01,114.51
1986-10-01,115.09
1987-01-01,116.4
1987-04-01,114.03
1987-07-01,110.61
1987-10-01,110.49
1988-01-01,113.16
1988-04-01,114.16
1988-07-01,111.99
1988-10-01,111.79
1989-01-01,115.17
1989-04-01,116.11
1989-07-01,117.71
1989-10-01,118.49
1990-01-01,120.5
1990-04-01,125.16
1990-07-01,127.98
1990-10-01,126.99
1991-01-01,130.47
1991-04-01,130.83
1991-07-01,133.65
1991-10-01,136.78
1992-01-01,138.28
1992-04-01,139.69
1992-07-01,142.94
1992-10-01,146.83
1993-01-01,148.05
1993-04-01,152.84
1993-07-01,157.01
1993-10-01,159.95
1994-01-01,160.99
1994-04-01,166.8
1994-07-01,168.73
1994-10-01,169.71
1995-01-01,170.73
1995-04-01,174.8
1995-07-01,177.91
1995-10-01,179.98
1996-01-01,182.23
1996-04-01,180.64
1996-07-01,181.21
1996-10-01,182.76
1997-01-01,184.53
1997-04-01,184.81
1997-07-01,187.79
1997-10-01,190.07
1998-01-01,192.1
1998-04-01,192.92
1998-07-01,193.93
1998-10-01,195.32
1999-01-01,197.16
1999-04-01,198.12
1999-07-01,196.4
1999-10-01,195.88
2000-01-01,198.95
2000-04-01,198.86
2000-07-01,200.53
2000-10-01,202.62
2001-01-01,207.88
2001-04-01,210.19
2001-07-01,211.27
2001-10-01,213.73
2002-01-01,214.15
2002-04-01,215.23
2002-07-01,218.5
2002-10-01,220.74
2003-01-01,222.79
2003-04-01,224.67
2003-07-01,226.47
2003-10-01,229.54
2004-01-01,232.29
2004-04-01,238.39
2004-07-01,246.51
2004-10-01,252.91
2005-01-01,259.06
2005-04-01,270.82
2005-07-01,286.92
2005-10-01,300.03
2006-01-01,310.6
2006-04-01,322.46
2006-07-01,331.35
2006-10-01,339.5
2007-01-01,344.46
2007-04-01,345.17
2007-07-01,345.72
2007-10-01,345.84
2008-01-01,347.26
2008-04-01,339.26
2008-07-01,329.82
2008-10-01,329.81
2009-01-01,330.74
2009-04-01,319.61
2009-07-01,305.79
2009-10-01,300.63
2010-01-01,290.89
2010-04-01,286.03
2010-07-01,285.0
2010-10-01,278.08
2011-01-01,262.93
2011-04-01,253.35
2011-07-01,258.41
2011-10-01,262.98
2012-01-01,260.87
2012-04-01,257.82
2012-07-01,263.52
2012-10-01,267.23
2013-01-01,269.88
2013-04-01,272.61
2013-07-01,281.25
2013-10-01,281.41
2014-01-01,285.8
2014-04-01,291.37
2014-07-01,295.54
2014-10-01,296.82
2015-01-01,302.25
2015-04-01,307.77
2015-07-01,314.13
2015-10-01,318.96
2016-01-01,323.38
2016-04-01,329.22
2016-07-01,340.1
2016-10-01,341.66
2017-01-01,348.39
2017-04-01,362.01
2017-07-01,370.01
2017-10-01,375.58
2018-01-01,387.8
2018-04-01,405.15
2018-07-01,417.14
2018-10-01,424.39
2019-01-01,433.13
2019-04-01,448.23
2019-07-01,458.45
2019-10-01,469.03
2020-01-01,479.61
2020-04-01,488.51
2020-07-01,507.16
2020-10-01,531.11
2021-01-01,559.69
2021-04-01,619.01
2021-07-01,670.35
2021-10-01,693.31
2022-01-01,718.11
2022-04-01,772.4
