DATE,ILSTHPI
1975-01-01,66.57
1975-04-01,62.2
1975-07-01,64.09
1975-10-01,66.69
1976-01-01,67.77
1976-04-01,70.23
1976-07-01,73.39
1976-10-01,73.17
1977-01-01,80.27
1977-04-01,83.73
1977-07-01,83.17
1977-10-01,88.72
1978-01-01,90.9
1978-04-01,97.97
1978-07-01,99.45
1978-10-01,102.02
1979-01-01,97.47
1979-04-01,102.47
1979-07-01,101.14
1979-10-01,99.47
1980-01-01,100.00
1980-04-01,100.88
1980-07-01,102.38
1980-10-01,95.65
1981-01-01,101.72
1981-04-01,106.61
1981-07-01,103.31
1981-10-01,104.39
1982-01-01,95.01
1982-04-01,94.78
1982-07-01,87.12
1982-10-01,102.45
1983-01-01,100.85
1983-04-01,104.25
1983-07-01,105.54
1983-10-01,106.69
1984-01-01,107.45
1984-04-01,110.23
1984-07-01,110.85
1984-10-01,112.41
1985-01-01,113.25
1985-04-01,114.61
1985-07-01,115.99
1985-10-01,117.96
1986-01-01,119.73
1986-04-01,122.37
1986-07-01,125.09
1986-10-01,128.02
1987-01-01,130.47
1987-04-01,135.17
1987-07-01,138.35
1987-10-01,140.24
1988-01-01,143.27
1988-04-01,147.83
1988-07-01,151.17
1988-10-01,152.46
1989-01-01,155.5
1989-04-01,158.47
1989-07-01,162.02
1989-10-01,163.93
1990-01-01,165.8
1990-04-01,167.65
1990-07-01,169.62
1990-10-01,170.09
1991-01-01,172.13
1991-04-01,173.95
1991-07-01,175.17
1991-10-01,177.57
1992-01-01,178.76
1992-04-01,180.34
1992-07-01,182.07
1992-10-01,183.7
1993-01-01,184.83
1993-04-01,186.53
1993-07-01,188.46
1993-10-01,190.12
1994-01-01,192.75
1994-04-01,195.47
1994-07-01,197.18
1994-10-01,197.51
1995-01-01,199.49
1995-04-01,202.36
1995-07-01,204.8
1995-10-01,206.67
1996-01-01,208.86
1996-04-01,209.58
1996-07-01,210.51
1996-10-01,212.58
1997-01-01,213.96
1997-04-01,215.51
1997-07-01,217.7
1997-10-01,219.71
1998-01-01,221.61
1998-04-01,222.5
1998-07-01,224.62
1998-10-01,226.31
1999-01-01,228.35
1999-04-01,231.06
1999-07-01,234.45
1999-10-01,236.79
2000-01-01,241.46
2000-04-01,245.6
2000-07-01,249.64
2000-10-01,252.48
2001-01-01,255.78
2001-04-01,260.23
2001-07-01,265.06
2001-10-01,267.52
2002-01-01,272.14
2002-04-01,276.96
2002-07-01,280.53
2002-10-01,283.72
2003-01-01,286.69
2003-04-01,289.62
2003-07-01,293.7
2003-10-01,302.87
2004-01-01,306.16
2004-04-01,313.15
2004-07-01,323.45
2004-10-01,328.06
2005-01-01,334.78
2005-04-01,342.62
2005-07-01,349.81
2005-10-01,356.18
2006-01-01,360.87
2006-04-01,363.69
2006-07-01,366.42
2006-10-01,370.5
2007-01-01,372.75
2007-04-01,371.53
2007-07-01,368.52
2007-10-01,369.74
2008-01-01,368.15
2008-04-01,360.68
2008-07-01,348.54
2008-10-01,347.4
2009-01-01,345.95
2009-04-01,336.04
2009-07-01,325.46
2009-10-01,322.27
2010-01-01,316.99
2010-04-01,313.29
2010-07-01,316.54
2010-10-01,314.39
2011-01-01,303.66
2011-04-01,297.43
2011-07-01,299.59
2011-10-01,299.51
2012-01-01,295.71
2012-04-01,291.92
2012-07-01,295.3
2012-10-01,295.35
2013-01-01,293.46
2013-04-01,295.3
2013-07-01,295.92
2013-10-01,296.98
2014-01-01,297.83
2014-04-01,303.32
2014-07-01,307.53
2014-10-01,308.79
2015-01-01,312.15
2015-04-01,314.89
2015-07-01,316.01
2015-10-01,317.43
2016-01-01,318.88
2016-04-01,323.14
2016-07-01,327.79
2016-10-01,328.65
2017-01-01,327.44
2017-04-01,331.62
2017-07-01,335.56
2017-10-01,336.18
2018-01-01,337.87
2018-04-01,340.04
2018-07-01,341.24
2018-10-01,340.71
2019-01-01,343.72
2019-04-01,348.71
2019-07-01,352.08
2019-10-01,353.75
2020-01-01,355.35
2020-04-01,357.25
2020-07-01,361.01
2020-10-01,365.52
2021-01-01,369.8
2021-04-01,386.66
2021-07-01,400.04
2021-10-01,409.47
2022-01-01,420.25
2022-04-01,446.9
