DATE,KSSTHPI
1975-01-01,61.87
1975-04-01,62.23
1975-07-01,63.29
1975-10-01,64.57
1976-01-01,66.56
1976-04-01,67.32
1976-07-01,68.53
1976-10-01,70.43
1977-01-01,72.58
1977-04-01,75.79
1977-07-01,77.32
1977-10-01,79.62
1978-01-01,82.36
1978-04-01,84.87
1978-07-01,88.33
1978-10-01,90.22
1979-01-01,92.1
1979-04-01,94.13
1979-07-01,97.39
1979-10-01,97.85
1980-01-01,100.00
1980-04-01,101.36
1980-07-01,102.15
1980-10-01,104.0
1981-01-01,98.21
1981-04-01,103.01
1981-07-01,103.2
1981-10-01,104.94
1982-01-01,103.47
1982-04-01,104.09
1982-07-01,104.83
1982-10-01,105.0
1983-01-01,106.01
1983-04-01,108.54
1983-07-01,106.34
1983-10-01,107.41
1984-01-01,107.53
1984-04-01,107.85
1984-07-01,107.44
1984-10-01,107.32
1985-01-01,108.48
1985-04-01,108.96
1985-07-01,109.52
1985-10-01,110.29
1986-01-01,112.51
1986-04-01,112.99
1986-07-01,114.08
1986-10-01,114.52
1987-01-01,115.36
1987-04-01,117.23
1987-07-01,116.86
1987-10-01,116.19
1988-01-01,116.57
1988-04-01,117.73
1988-07-01,116.75
1988-10-01,118.36
1989-01-01,117.39
1989-04-01,119.45
1989-07-01,119.09
1989-10-01,119.68
1990-01-01,119.54
1990-04-01,119.02
1990-07-01,119.23
1990-10-01,118.79
1991-01-01,119.27
1991-04-01,120.13
1991-07-01,120.33
1991-10-01,121.83
1992-01-01,122.53
1992-04-01,123.07
1992-07-01,124.52
1992-10-01,124.86
1993-01-01,125.67
1993-04-01,126.59
1993-07-01,128.37
1993-10-01,129.58
1994-01-01,131.72
1994-04-01,135.69
1994-07-01,137.3
1994-10-01,138.44
1995-01-01,139.78
1995-04-01,142.59
1995-07-01,143.96
1995-10-01,146.09
1996-01-01,146.56
1996-04-01,149.28
1996-07-01,151.01
1996-10-01,152.33
1997-01-01,152.82
1997-04-01,155.14
1997-07-01,156.98
1997-10-01,158.84
1998-01-01,160.69
1998-04-01,162.29
1998-07-01,165.08
1998-10-01,166.82
1999-01-01,168.65
1999-04-01,171.94
1999-07-01,173.82
1999-10-01,174.9
2000-01-01,178.42
2000-04-01,179.77
2000-07-01,182.35
2000-10-01,184.15
2001-01-01,187.8
2001-04-01,190.04
2001-07-01,192.15
2001-10-01,193.86
2002-01-01,196.43
2002-04-01,198.34
2002-07-01,200.31
2002-10-01,201.89
2003-01-01,203.44
2003-04-01,204.89
2003-07-01,206.38
2003-10-01,209.65
2004-01-01,211.61
2004-04-01,213.81
2004-07-01,216.04
2004-10-01,218.67
2005-01-01,220.87
2005-04-01,223.93
2005-07-01,226.59
2005-10-01,227.71
2006-01-01,228.84
2006-04-01,230.85
2006-07-01,232.76
2006-10-01,234.98
2007-01-01,236.35
2007-04-01,238.94
2007-07-01,238.32
2007-10-01,238.44
2008-01-01,240.08
2008-04-01,238.54
2008-07-01,235.71
2008-10-01,236.15
2009-01-01,238.94
2009-04-01,237.26
2009-07-01,235.5
2009-10-01,235.05
2010-01-01,233.32
2010-04-01,232.83
2010-07-01,235.43
2010-10-01,235.31
2011-01-01,231.52
2011-04-01,228.02
2011-07-01,230.66
2011-10-01,232.58
2012-01-01,230.9
2012-04-01,229.72
2012-07-01,232.02
2012-10-01,232.24
2013-01-01,233.27
2013-04-01,231.86
2013-07-01,234.38
2013-10-01,233.69
2014-01-01,234.59
2014-04-01,237.92
2014-07-01,241.39
2014-10-01,241.29
2015-01-01,243.32
2015-04-01,246.25
2015-07-01,249.14
2015-10-01,249.29
2016-01-01,251.42
2016-04-01,256.46
2016-07-01,260.2
2016-10-01,262.0
2017-01-01,261.7
2017-04-01,268.84
2017-07-01,271.36
2017-10-01,272.23
2018-01-01,276.48
2018-04-01,281.46
2018-07-01,282.63
2018-10-01,284.98
2019-01-01,287.17
2019-04-01,292.31
2019-07-01,295.84
2019-10-01,297.7
2020-01-01,301.94
2020-04-01,304.74
2020-07-01,311.05
2020-10-01,317.26
2021-01-01,323.14
2021-04-01,341.45
2021-07-01,356.82
2021-10-01,363.44
2022-01-01,375.58
2022-04-01,401.17
