DATE,MASTHPI
1975-01-01,67.86
1975-04-01,66.16
1975-07-01,67.08
1975-10-01,70.27
1976-01-01,67.41
1976-04-01,69.04
1976-07-01,68.68
1976-10-01,70.23
1977-01-01,72.51
1977-04-01,70.2
1977-07-01,73.79
1977-10-01,73.3
1978-01-01,78.11
1978-04-01,79.8
1978-07-01,84.65
1978-10-01,87.12
1979-01-01,90.93
1979-04-01,93.89
1979-07-01,97.1
1979-10-01,98.06
1980-01-01,100.00
1980-04-01,103.95
1980-07-01,108.4
1980-10-01,108.64
1981-01-01,112.54
1981-04-01,118.67
1981-07-01,121.51
1981-10-01,121.45
1982-01-01,123.53
1982-04-01,124.53
1982-07-01,126.42
1982-10-01,127.92
1983-01-01,130.1
1983-04-01,135.9
1983-07-01,142.82
1983-10-01,148.16
1984-01-01,156.28
1984-04-01,164.56
1984-07-01,174.41
1984-10-01,180.56
1985-01-01,190.2
1985-04-01,204.62
1985-07-01,217.59
1985-10-01,231.95
1986-01-01,241.26
1986-04-01,253.29
1986-07-01,265.63
1986-10-01,278.28
1987-01-01,287.82
1987-04-01,295.08
1987-07-01,303.78
1987-10-01,306.24
1988-01-01,309.76
1988-04-01,314.95
1988-07-01,313.73
1988-10-01,316.11
1989-01-01,313.38
1989-04-01,311.33
1989-07-01,316.06
1989-10-01,316.78
1990-01-01,312.75
1990-04-01,303.72
1990-07-01,298.61
1990-10-01,291.51
1991-01-01,288.46
1991-04-01,285.54
1991-07-01,282.27
1991-10-01,284.94
1992-01-01,284.05
1992-04-01,280.57
1992-07-01,282.12
1992-10-01,282.79
1993-01-01,280.88
1993-04-01,282.62
1993-07-01,283.61
1993-10-01,285.34
1994-01-01,285.53
1994-04-01,282.66
1994-07-01,282.39
1994-10-01,279.99
1995-01-01,281.75
1995-04-01,287.0
1995-07-01,291.7
1995-10-01,293.3
1996-01-01,296.92
1996-04-01,297.37
1996-07-01,298.68
1996-10-01,302.55
1997-01-01,305.22
1997-04-01,309.74
1997-07-01,314.25
1997-10-01,319.0
1998-01-01,323.35
1998-04-01,330.12
1998-07-01,338.38
1998-10-01,343.36
1999-01-01,350.28
1999-04-01,361.76
1999-07-01,376.73
1999-10-01,385.6
2000-01-01,401.93
2000-04-01,414.88
2000-07-01,430.08
2000-10-01,440.46
2001-01-01,452.31
2001-04-01,466.05
2001-07-01,481.61
2001-10-01,491.44
2002-01-01,505.71
2002-04-01,524.33
2002-07-01,539.7
2002-10-01,551.9
2003-01-01,562.82
2003-04-01,571.94
2003-07-01,582.68
2003-10-01,607.63
2004-01-01,617.85
2004-04-01,632.38
2004-07-01,662.84
2004-10-01,673.88
2005-01-01,688.27
2005-04-01,704.58
2005-07-01,715.71
2005-10-01,720.94
2006-01-01,721.5
2006-04-01,712.69
2006-07-01,707.38
2006-10-01,709.31
2007-01-01,703.87
2007-04-01,693.9
2007-07-01,680.25
2007-10-01,680.32
2008-01-01,676.85
2008-04-01,655.41
2008-07-01,639.09
2008-10-01,639.91
2009-01-01,640.2
2009-04-01,624.39
2009-07-01,613.73
2009-10-01,614.75
2010-01-01,611.07
2010-04-01,609.3
2010-07-01,612.88
2010-10-01,612.62
2011-01-01,603.76
2011-04-01,596.84
2011-07-01,600.03
2011-10-01,600.77
2012-01-01,596.97
2012-04-01,595.25
2012-07-01,599.29
2012-10-01,602.18
2013-01-01,603.97
2013-04-01,609.15
2013-07-01,616.14
2013-10-01,619.24
2014-01-01,623.2
2014-04-01,637.05
2014-07-01,644.28
2014-10-01,648.61
2015-01-01,654.34
2015-04-01,662.18
2015-07-01,673.01
2015-10-01,676.91
2016-01-01,684.31
2016-04-01,693.78
2016-07-01,706.19
2016-10-01,712.6
2017-01-01,716.4
2017-04-01,735.16
2017-07-01,745.52
2017-10-01,751.5
2018-01-01,760.15
2018-04-01,774.49
2018-07-01,783.99
2018-10-01,784.96
2019-01-01,794.21
2019-04-01,806.12
2019-07-01,815.5
2019-10-01,823.02
2020-01-01,831.63
2020-04-01,840.17
2020-07-01,855.05
2020-10-01,872.2
2021-01-01,891.18
2021-04-01,938.97
2021-07-01,987.87
2021-10-01,1010.57
2022-01-01,1036.38
2022-04-01,1106.37
