DATE,MDSTHPI
1975-01-01,61.91
1975-04-01,62.37
1975-07-01,65.17
1975-10-01,67.01
1976-01-01,67.34
1976-04-01,69.89
1976-07-01,70.69
1976-10-01,71.82
1977-01-01,72.26
1977-04-01,73.52
1977-07-01,76.76
1977-10-01,77.17
1978-01-01,81.91
1978-04-01,83.42
1978-07-01,85.8
1978-10-01,88.39
1979-01-01,91.08
1979-04-01,94.83
1979-07-01,96.96
1979-10-01,98.26
1980-01-01,100.00
1980-04-01,103.21
1980-07-01,105.0
1980-10-01,107.59
1981-01-01,110.75
1981-04-01,112.98
1981-07-01,111.4
1981-10-01,114.43
1982-01-01,106.98
1982-04-01,108.44
1982-07-01,106.66
1982-10-01,111.03
1983-01-01,113.56
1983-04-01,115.62
1983-07-01,116.82
1983-10-01,118.22
1984-01-01,118.85
1984-04-01,122.9
1984-07-01,124.34
1984-10-01,124.8
1985-01-01,126.83
1985-04-01,128.71
1985-07-01,130.95
1985-10-01,131.22
1986-01-01,133.88
1986-04-01,137.7
1986-07-01,141.19
1986-10-01,144.91
1987-01-01,149.06
1987-04-01,153.42
1987-07-01,160.3
1987-10-01,162.67
1988-01-01,168.1
1988-04-01,174.04
1988-07-01,179.66
1988-10-01,183.87
1989-01-01,188.5
1989-04-01,193.25
1989-07-01,196.77
1989-10-01,200.0
1990-01-01,202.4
1990-04-01,203.04
1990-07-01,204.06
1990-10-01,202.86
1991-01-01,204.27
1991-04-01,206.39
1991-07-01,205.81
1991-10-01,209.84
1992-01-01,210.6
1992-04-01,209.24
1992-07-01,211.21
1992-10-01,211.89
1993-01-01,211.33
1993-04-01,212.0
1993-07-01,212.69
1993-10-01,213.54
1994-01-01,213.94
1994-04-01,211.85
1994-07-01,209.91
1994-10-01,208.08
1995-01-01,208.17
1995-04-01,210.9
1995-07-01,213.38
1995-10-01,214.93
1996-01-01,217.52
1996-04-01,215.13
1996-07-01,213.33
1996-10-01,215.91
1997-01-01,216.69
1997-04-01,215.63
1997-07-01,217.48
1997-10-01,220.0
1998-01-01,222.73
1998-04-01,222.52
1998-07-01,223.83
1998-10-01,226.04
1999-01-01,228.5
1999-04-01,229.41
1999-07-01,231.43
1999-10-01,234.03
2000-01-01,238.49
2000-04-01,241.05
2000-07-01,245.48
2000-10-01,249.28
2001-01-01,255.03
2001-04-01,260.02
2001-07-01,266.91
2001-10-01,271.22
2002-01-01,277.99
2002-04-01,287.12
2002-07-01,296.06
2002-10-01,302.11
2003-01-01,307.9
2003-04-01,314.56
2003-07-01,324.13
2003-10-01,341.65
2004-01-01,351.19
2004-04-01,367.65
2004-07-01,394.65
2004-10-01,408.26
2005-01-01,426.39
2005-04-01,452.27
2005-07-01,475.71
2005-10-01,494.87
2006-01-01,508.52
2006-04-01,518.93
2006-07-01,525.97
2006-10-01,532.8
2007-01-01,534.48
2007-04-01,535.52
2007-07-01,527.8
2007-10-01,524.89
2008-01-01,516.87
2008-04-01,499.04
2008-07-01,478.79
2008-10-01,471.61
2009-01-01,466.91
2009-04-01,448.77
2009-07-01,437.64
2009-10-01,430.04
2010-01-01,426.75
2010-04-01,421.5
2010-07-01,426.9
2010-10-01,422.82
2011-01-01,410.01
2011-04-01,401.92
2011-07-01,407.97
2011-10-01,409.86
2012-01-01,403.99
2012-04-01,400.04
2012-07-01,405.49
2012-10-01,406.97
2013-01-01,406.98
2013-04-01,410.73
2013-07-01,412.29
2013-10-01,412.99
2014-01-01,414.22
2014-04-01,420.79
2014-07-01,423.62
2014-10-01,427.28
2015-01-01,429.81
2015-04-01,432.75
2015-07-01,432.68
2015-10-01,433.77
2016-01-01,437.58
2016-04-01,442.38
2016-07-01,448.03
2016-10-01,449.52
2017-01-01,447.34
2017-04-01,455.64
2017-07-01,459.17
2017-10-01,461.89
2018-01-01,464.52
2018-04-01,468.91
2018-07-01,469.59
2018-10-01,467.59
2019-01-01,472.35
2019-04-01,480.32
2019-07-01,485.3
2019-10-01,486.99
2020-01-01,492.3
2020-04-01,496.79
2020-07-01,503.18
2020-10-01,512.49
2021-01-01,523.99
2021-04-01,548.62
2021-07-01,570.67
2021-10-01,583.19
2022-01-01,600.58
2022-04-01,629.3
