DATE,MESTHPI
1975-01-01,60.97
1975-04-01,88.24
1975-07-01,68.42
1975-10-01,71.15
1976-01-01,55.75
1976-04-01,70.02
1976-07-01,83.57
1976-10-01,70.65
1977-01-01,74.59
1977-04-01,80.79
1977-07-01,81.56
1977-10-01,86.59
1978-01-01,82.54
1978-04-01,91.62
1978-07-01,90.33
1978-10-01,94.34
1979-01-01,104.15
1979-04-01,103.15
1979-07-01,97.98
1979-10-01,105.48
1980-01-01,100.00
1980-04-01,104.48
1980-07-01,109.4
1980-10-01,105.79
1981-01-01,119.27
1981-04-01,113.73
1981-07-01,108.76
1981-10-01,117.48
1982-01-01,105.22
1982-04-01,114.28
1982-07-01,109.79
1982-10-01,113.11
1983-01-01,114.16
1983-04-01,119.71
1983-07-01,125.36
1983-10-01,131.09
1984-01-01,132.4
1984-04-01,138.7
1984-07-01,142.47
1984-10-01,140.15
1985-01-01,145.78
1985-04-01,150.46
1985-07-01,156.31
1985-10-01,164.4
1986-01-01,167.22
1986-04-01,173.19
1986-07-01,180.6
1986-10-01,188.73
1987-01-01,196.11
1987-04-01,203.96
1987-07-01,214.17
1987-10-01,221.91
1988-01-01,227.7
1988-04-01,229.76
1988-07-01,236.35
1988-10-01,237.51
1989-01-01,238.88
1989-04-01,241.85
1989-07-01,244.29
1989-10-01,246.47
1990-01-01,243.38
1990-04-01,238.9
1990-07-01,234.65
1990-10-01,236.98
1991-01-01,230.49
1991-04-01,233.66
1991-07-01,229.84
1991-10-01,232.37
1992-01-01,233.74
1992-04-01,228.95
1992-07-01,229.95
1992-10-01,231.51
1993-01-01,228.26
1993-04-01,231.15
1993-07-01,229.46
1993-10-01,231.59
1994-01-01,231.49
1994-04-01,225.52
1994-07-01,224.1
1994-10-01,220.43
1995-01-01,222.56
1995-04-01,225.87
1995-07-01,230.17
1995-10-01,230.43
1996-01-01,235.67
1996-04-01,232.82
1996-07-01,232.23
1996-10-01,235.9
1997-01-01,234.65
1997-04-01,236.77
1997-07-01,240.2
1997-10-01,243.73
1998-01-01,247.04
1998-04-01,249.0
1998-07-01,252.03
1998-10-01,255.7
1999-01-01,258.31
1999-04-01,263.85
1999-07-01,269.5
1999-10-01,272.05
2000-01-01,277.78
2000-04-01,285.43
2000-07-01,291.91
2000-10-01,297.7
2001-01-01,306.21
2001-04-01,312.04
2001-07-01,321.34
2001-10-01,326.35
2002-01-01,333.59
2002-04-01,344.02
2002-07-01,353.76
2002-10-01,360.25
2003-01-01,367.05
2003-04-01,372.25
2003-07-01,383.06
2003-10-01,397.33
2004-01-01,406.48
2004-04-01,418.13
2004-07-01,438.06
2004-10-01,447.24
2005-01-01,460.24
2005-04-01,470.53
2005-07-01,482.85
2005-10-01,490.45
2006-01-01,494.9
2006-04-01,492.19
2006-07-01,495.38
2006-10-01,502.96
2007-01-01,506.23
2007-04-01,502.79
2007-07-01,499.74
2007-10-01,505.92
2008-01-01,508.01
2008-04-01,499.93
2008-07-01,488.23
2008-10-01,484.96
2009-01-01,489.48
2009-04-01,478.42
2009-07-01,467.73
2009-10-01,462.53
2010-01-01,459.51
2010-04-01,453.88
2010-07-01,459.2
2010-10-01,460.17
2011-01-01,452.76
2011-04-01,445.16
2011-07-01,448.86
2011-10-01,451.67
2012-01-01,446.55
2012-04-01,441.93
2012-07-01,443.12
2012-10-01,443.96
2013-01-01,446.82
2013-04-01,448.85
2013-07-01,445.98
2013-10-01,443.97
2014-01-01,445.84
2014-04-01,449.74
2014-07-01,457.26
2014-10-01,455.55
2015-01-01,461.65
2015-04-01,464.63
2015-07-01,466.93
2015-10-01,470.12
2016-01-01,474.09
2016-04-01,478.23
2016-07-01,488.7
2016-10-01,493.1
2017-01-01,496.49
2017-04-01,501.0
2017-07-01,510.76
2017-10-01,516.4
2018-01-01,522.16
2018-04-01,531.29
2018-07-01,538.77
2018-10-01,540.7
2019-01-01,545.76
2019-04-01,558.55
2019-07-01,566.15
2019-10-01,573.26
2020-01-01,578.74
2020-04-01,587.73
2020-07-01,601.01
2020-10-01,622.77
2021-01-01,641.23
2021-04-01,681.04
2021-07-01,730.4
2021-10-01,751.31
2022-01-01,779.95
2022-04-01,832.05
