DATE,MISTHPI
1975-01-01,60.25
1975-04-01,62.6
1975-07-01,63.16
1975-10-01,62.29
1976-01-01,62.7
1976-04-01,64.16
1976-07-01,64.31
1976-10-01,65.64
1977-01-01,67.32
1977-04-01,68.14
1977-07-01,71.27
1977-10-01,72.69
1978-01-01,75.61
1978-04-01,79.5
1978-07-01,82.99
1978-10-01,86.82
1979-01-01,91.28
1979-04-01,96.11
1979-07-01,99.09
1979-10-01,99.54
1980-01-01,100.00
1980-04-01,101.93
1980-07-01,102.88
1980-10-01,101.78
1981-01-01,103.25
1981-04-01,103.49
1981-07-01,106.29
1981-10-01,105.34
1982-01-01,104.58
1982-04-01,99.65
1982-07-01,94.55
1982-10-01,87.75
1983-01-01,96.66
1983-04-01,97.1
1983-07-01,97.27
1983-10-01,95.14
1984-01-01,97.56
1984-04-01,97.16
1984-07-01,97.26
1984-10-01,97.48
1985-01-01,99.7
1985-04-01,100.79
1985-07-01,102.69
1985-10-01,103.79
1986-01-01,105.44
1986-04-01,108.79
1986-07-01,112.07
1986-10-01,114.55
1987-01-01,117.52
1987-04-01,121.46
1987-07-01,124.07
1987-10-01,126.1
1988-01-01,127.92
1988-04-01,131.14
1988-07-01,133.31
1988-10-01,134.47
1989-01-01,136.52
1989-04-01,139.37
1989-07-01,142.66
1989-10-01,143.23
1990-01-01,145.36
1990-04-01,147.67
1990-07-01,148.59
1990-10-01,148.95
1991-01-01,150.73
1991-04-01,152.77
1991-07-01,153.97
1991-10-01,155.86
1992-01-01,157.12
1992-04-01,158.15
1992-07-01,159.32
1992-10-01,160.55
1993-01-01,161.17
1993-04-01,162.41
1993-07-01,163.84
1993-10-01,165.24
1994-01-01,167.09
1994-04-01,169.89
1994-07-01,173.23
1994-10-01,175.38
1995-01-01,178.53
1995-04-01,182.01
1995-07-01,185.31
1995-10-01,188.42
1996-01-01,191.11
1996-04-01,196.42
1996-07-01,200.92
1996-10-01,203.61
1997-01-01,207.09
1997-04-01,211.56
1997-07-01,215.24
1997-10-01,218.28
1998-01-01,220.75
1998-04-01,224.95
1998-07-01,228.69
1998-10-01,230.81
1999-01-01,234.5
1999-04-01,239.58
1999-07-01,244.4
1999-10-01,247.41
2000-01-01,253.06
2000-04-01,256.61
2000-07-01,261.16
2000-10-01,264.92
2001-01-01,269.07
2001-04-01,272.56
2001-07-01,276.18
2001-10-01,278.45
2002-01-01,281.9
2002-04-01,285.02
2002-07-01,287.65
2002-10-01,289.48
2003-01-01,291.67
2003-04-01,293.93
2003-07-01,296.54
2003-10-01,300.86
2004-01-01,302.88
2004-04-01,304.96
2004-07-01,309.14
2004-10-01,312.52
2005-01-01,315.1
2005-04-01,316.85
2005-07-01,319.53
2005-10-01,318.77
2006-01-01,317.45
2006-04-01,312.26
2006-07-01,309.88
2006-10-01,311.47
2007-01-01,308.94
2007-04-01,303.25
2007-07-01,293.63
2007-10-01,292.44
2008-01-01,291.65
2008-04-01,279.67
2008-07-01,268.34
2008-10-01,265.55
2009-01-01,271.11
2009-04-01,260.55
2009-07-01,248.76
2009-10-01,244.45
2010-01-01,239.66
2010-04-01,235.84
2010-07-01,239.93
2010-10-01,239.34
2011-01-01,229.6
2011-04-01,225.78
2011-07-01,230.39
2011-10-01,232.18
2012-01-01,227.66
2012-04-01,226.54
2012-07-01,231.07
2012-10-01,234.26
2013-01-01,236.83
2013-04-01,241.81
2013-07-01,247.4
2013-10-01,249.39
2014-01-01,251.74
2014-04-01,259.33
2014-07-01,265.17
2014-10-01,267.37
2015-01-01,268.58
2015-04-01,274.31
2015-07-01,279.12
2015-10-01,280.4
2016-01-01,282.6
2016-04-01,288.78
2016-07-01,294.34
2016-10-01,296.48
2017-01-01,300.18
2017-04-01,308.42
2017-07-01,314.44
2017-10-01,316.31
2018-01-01,320.31
2018-04-01,328.2
2018-07-01,333.4
2018-10-01,334.17
2019-01-01,338.52
2019-04-01,345.41
2019-07-01,349.64
2019-10-01,352.09
2020-01-01,355.4
2020-04-01,359.15
2020-07-01,367.01
2020-10-01,374.6
2021-01-01,382.48
2021-04-01,404.05
2021-07-01,424.74
2021-10-01,434.09
2022-01-01,446.09
2022-04-01,475.05
