DATE,MOSTHPI
1975-01-01,65.37
1975-04-01,73.81
1975-07-01,65.6
1975-10-01,65.14
1976-01-01,67.1
1976-04-01,77.51
1976-07-01,69.41
1976-10-01,69.24
1977-01-01,71.48
1977-04-01,81.42
1977-07-01,77.55
1977-10-01,80.31
1978-01-01,82.69
1978-04-01,92.77
1978-07-01,90.06
1978-10-01,91.01
1979-01-01,96.02
1979-04-01,102.59
1979-07-01,98.53
1979-10-01,100.51
1980-01-01,100.00
1980-04-01,111.18
1980-07-01,105.01
1980-10-01,105.67
1981-01-01,103.29
1981-04-01,103.98
1981-07-01,103.1
1981-10-01,102.25
1982-01-01,103.17
1982-04-01,101.71
1982-07-01,103.66
1982-10-01,104.04
1983-01-01,105.49
1983-04-01,108.09
1983-07-01,111.59
1983-10-01,112.57
1984-01-01,113.16
1984-04-01,115.29
1984-07-01,118.98
1984-10-01,119.02
1985-01-01,120.24
1985-04-01,123.46
1985-07-01,125.48
1985-10-01,126.34
1986-01-01,127.43
1986-04-01,129.36
1986-07-01,131.93
1986-10-01,134.06
1987-01-01,135.86
1987-04-01,138.84
1987-07-01,140.34
1987-10-01,140.86
1988-01-01,140.77
1988-04-01,142.87
1988-07-01,143.76
1988-10-01,143.59
1989-01-01,143.59
1989-04-01,145.25
1989-07-01,146.1
1989-10-01,146.75
1990-01-01,146.86
1990-04-01,146.66
1990-07-01,146.89
1990-10-01,145.66
1991-01-01,147.33
1991-04-01,148.12
1991-07-01,148.52
1991-10-01,150.15
1992-01-01,150.96
1992-04-01,151.31
1992-07-01,152.41
1992-10-01,153.36
1993-01-01,153.49
1993-04-01,154.44
1993-07-01,155.54
1993-10-01,156.86
1994-01-01,158.53
1994-04-01,161.46
1994-07-01,163.98
1994-10-01,164.29
1995-01-01,166.42
1995-04-01,168.29
1995-07-01,170.62
1995-10-01,172.11
1996-01-01,173.65
1996-04-01,176.03
1996-07-01,177.3
1996-10-01,179.34
1997-01-01,180.99
1997-04-01,182.65
1997-07-01,184.9
1997-10-01,186.75
1998-01-01,188.44
1998-04-01,190.28
1998-07-01,192.49
1998-10-01,194.18
1999-01-01,196.64
1999-04-01,199.7
1999-07-01,202.0
1999-10-01,203.99
2000-01-01,207.9
2000-04-01,210.45
2000-07-01,213.86
2000-10-01,216.45
2001-01-01,220.1
2001-04-01,223.41
2001-07-01,226.67
2001-10-01,228.93
2002-01-01,232.64
2002-04-01,235.72
2002-07-01,238.65
2002-10-01,241.54
2003-01-01,243.65
2003-04-01,245.37
2003-07-01,248.4
2003-10-01,254.06
2004-01-01,257.1
2004-04-01,260.4
2004-07-01,266.41
2004-10-01,270.02
2005-01-01,274.57
2005-04-01,278.6
2005-07-01,283.62
2005-10-01,286.79
2006-01-01,289.55
2006-04-01,289.94
2006-07-01,292.69
2006-10-01,296.12
2007-01-01,297.55
2007-04-01,297.94
2007-07-01,296.29
2007-10-01,297.57
2008-01-01,297.92
2008-04-01,293.87
2008-07-01,289.07
2008-10-01,289.72
2009-01-01,292.06
2009-04-01,287.36
2009-07-01,280.65
2009-10-01,279.38
2010-01-01,277.23
2010-04-01,275.41
2010-07-01,278.31
2010-10-01,276.52
2011-01-01,269.5
2011-04-01,265.36
2011-07-01,269.08
2011-10-01,270.37
2012-01-01,268.02
2012-04-01,265.46
2012-07-01,268.38
2012-10-01,268.71
2013-01-01,267.56
2013-04-01,268.51
2013-07-01,268.86
2013-10-01,268.26
2014-01-01,268.84
2014-04-01,273.57
2014-07-01,275.82
2014-10-01,278.24
2015-01-01,280.52
2015-04-01,282.75
2015-07-01,285.47
2015-10-01,288.61
2016-01-01,290.94
2016-04-01,294.71
2016-07-01,299.48
2016-10-01,300.89
2017-01-01,302.13
2017-04-01,308.45
2017-07-01,312.17
2017-10-01,314.56
2018-01-01,319.17
2018-04-01,324.12
2018-07-01,327.54
2018-10-01,330.25
2019-01-01,333.01
2019-04-01,339.28
2019-07-01,343.15
2019-10-01,347.79
2020-01-01,351.62
2020-04-01,354.15
2020-07-01,360.77
2020-10-01,368.07
2021-01-01,375.06
2021-04-01,398.57
2021-07-01,416.07
2021-10-01,427.7
2022-01-01,443.57
2022-04-01,474.1
