DATE,MSSTHPI
1975-01-01,75.22
1975-04-01,72.14
1975-07-01,72.58
1975-10-01,73.11
1976-01-01,73.09
1976-04-01,74.66
1976-07-01,71.93
1976-10-01,83.35
1977-01-01,75.11
1977-04-01,77.49
1977-07-01,78.3
1977-10-01,85.92
1978-01-01,86.63
1978-04-01,88.23
1978-07-01,92.95
1978-10-01,90.39
1979-01-01,98.79
1979-04-01,101.77
1979-07-01,106.5
1979-10-01,93.27
1980-01-01,100.00
1980-04-01,96.79
1980-07-01,104.14
1980-10-01,104.5
1981-01-01,94.09
1981-04-01,115.17
1981-07-01,107.5
1981-10-01,93.52
1982-01-01,103.04
1982-04-01,104.63
1982-07-01,108.49
1982-10-01,108.33
1983-01-01,112.43
1983-04-01,112.6
1983-07-01,110.52
1983-10-01,115.61
1984-01-01,118.44
1984-04-01,115.1
1984-07-01,112.96
1984-10-01,114.35
1985-01-01,120.01
1985-04-01,122.07
1985-07-01,122.78
1985-10-01,122.83
1986-01-01,123.91
1986-04-01,125.89
1986-07-01,124.06
1986-10-01,124.72
1987-01-01,126.18
1987-04-01,126.11
1987-07-01,124.38
1987-10-01,123.55
1988-01-01,122.39
1988-04-01,124.12
1988-07-01,122.06
1988-10-01,124.04
1989-01-01,119.6
1989-04-01,123.65
1989-07-01,125.91
1989-10-01,124.76
1990-01-01,126.38
1990-04-01,124.57
1990-07-01,125.86
1990-10-01,124.65
1991-01-01,127.3
1991-04-01,126.12
1991-07-01,126.45
1991-10-01,129.74
1992-01-01,131.48
1992-04-01,131.64
1992-07-01,132.57
1992-10-01,133.05
1993-01-01,133.58
1993-04-01,135.73
1993-07-01,137.49
1993-10-01,138.45
1994-01-01,140.72
1994-04-01,142.8
1994-07-01,144.17
1994-10-01,146.55
1995-01-01,146.64
1995-04-01,149.68
1995-07-01,152.1
1995-10-01,153.83
1996-01-01,154.73
1996-04-01,155.48
1996-07-01,158.45
1996-10-01,159.5
1997-01-01,160.01
1997-04-01,161.11
1997-07-01,163.56
1997-10-01,165.96
1998-01-01,167.97
1998-04-01,170.61
1998-07-01,172.19
1998-10-01,173.9
1999-01-01,176.21
1999-04-01,178.61
1999-07-01,179.42
1999-10-01,179.21
2000-01-01,181.12
2000-04-01,182.41
2000-07-01,185.17
2000-10-01,186.51
2001-01-01,191.22
2001-04-01,192.43
2001-07-01,194.32
2001-10-01,195.97
2002-01-01,196.63
2002-04-01,195.97
2002-07-01,199.61
2002-10-01,201.57
2003-01-01,202.82
2003-04-01,204.46
2003-07-01,205.49
2003-10-01,207.05
2004-01-01,209.08
2004-04-01,211.39
2004-07-01,214.17
2004-10-01,217.13
2005-01-01,218.47
2005-04-01,222.75
2005-07-01,227.29
2005-10-01,232.46
2006-01-01,236.26
2006-04-01,243.19
2006-07-01,247.92
2006-10-01,252.41
2007-01-01,256.21
2007-04-01,256.26
2007-07-01,256.34
2007-10-01,259.69
2008-01-01,259.98
2008-04-01,257.88
2008-07-01,253.3
2008-10-01,255.82
2009-01-01,256.61
2009-04-01,254.12
2009-07-01,249.27
2009-10-01,247.82
2010-01-01,245.09
2010-04-01,241.98
2010-07-01,244.85
2010-10-01,243.0
2011-01-01,237.85
2011-04-01,237.84
2011-07-01,240.12
2011-10-01,241.47
2012-01-01,238.95
2012-04-01,237.65
2012-07-01,239.91
2012-10-01,238.4
2013-01-01,238.7
2013-04-01,238.18
2013-07-01,238.9
2013-10-01,237.28
2014-01-01,239.43
2014-04-01,239.77
2014-07-01,242.18
2014-10-01,245.02
2015-01-01,246.82
2015-04-01,247.05
2015-07-01,249.97
2015-10-01,251.43
2016-01-01,252.38
2016-04-01,253.99
2016-07-01,255.13
2016-10-01,259.52
2017-01-01,259.18
2017-04-01,259.5
2017-07-01,262.22
2017-10-01,263.58
2018-01-01,266.22
2018-04-01,265.92
2018-07-01,267.35
2018-10-01,269.67
2019-01-01,272.62
2019-04-01,276.07
2019-07-01,279.35
2019-10-01,280.49
2020-01-01,284.92
2020-04-01,284.91
2020-07-01,289.32
2020-10-01,294.53
2021-01-01,298.71
2021-04-01,309.93
2021-07-01,326.74
2021-10-01,336.07
2022-01-01,345.89
2022-04-01,362.04
