DATE,MTSTHPI
1975-01-01,57.06
1975-04-01,56.62
1975-07-01,59.19
1975-10-01,58.2
1976-01-01,59.64
1976-04-01,65.12
1976-07-01,64.8
1976-10-01,65.35
1977-01-01,66.27
1977-04-01,71.51
1977-07-01,76.78
1977-10-01,79.59
1978-01-01,90.53
1978-04-01,89.43
1978-07-01,90.03
1978-10-01,92.31
1979-01-01,94.48
1979-04-01,99.69
1979-07-01,96.75
1979-10-01,103.8
1980-01-01,100.00
1980-04-01,92.89
1980-07-01,107.37
1980-10-01,102.07
1981-01-01,95.42
1981-04-01,101.86
1981-07-01,113.9
1981-10-01,100.01
1982-01-01,105.01
1982-04-01,113.43
1982-07-01,100.45
1982-10-01,113.01
1983-01-01,98.72
1983-04-01,104.69
1983-07-01,110.11
1983-10-01,114.32
1984-01-01,123.14
1984-04-01,120.5
1984-07-01,115.4
1984-10-01,112.18
1985-01-01,115.65
1985-04-01,110.22
1985-07-01,115.89
1985-10-01,118.26
1986-01-01,117.35
1986-04-01,114.21
1986-07-01,115.21
1986-10-01,115.45
1987-01-01,110.06
1987-04-01,112.69
1987-07-01,111.04
1987-10-01,105.05
1988-01-01,109.62
1988-04-01,110.45
1988-07-01,113.69
1988-10-01,112.85
1989-01-01,111.07
1989-04-01,112.07
1989-07-01,114.71
1989-10-01,116.16
1990-01-01,114.64
1990-04-01,116.53
1990-07-01,121.36
1990-10-01,121.77
1991-01-01,119.87
1991-04-01,123.86
1991-07-01,125.89
1991-10-01,130.47
1992-01-01,132.4
1992-04-01,134.63
1992-07-01,138.36
1992-10-01,142.75
1993-01-01,145.33
1993-04-01,149.41
1993-07-01,151.98
1993-10-01,157.07
1994-01-01,159.42
1994-04-01,166.23
1994-07-01,170.26
1994-10-01,171.43
1995-01-01,173.11
1995-04-01,177.02
1995-07-01,180.89
1995-10-01,181.79
1996-01-01,184.51
1996-04-01,186.51
1996-07-01,188.75
1996-10-01,189.6
1997-01-01,190.25
1997-04-01,190.96
1997-07-01,193.37
1997-10-01,196.85
1998-01-01,198.26
1998-04-01,198.05
1998-07-01,199.8
1998-10-01,201.94
1999-01-01,201.8
1999-04-01,203.95
1999-07-01,206.44
1999-10-01,205.95
2000-01-01,208.69
2000-04-01,210.28
2000-07-01,213.5
2000-10-01,216.55
2001-01-01,220.86
2001-04-01,223.44
2001-07-01,225.53
2001-10-01,227.15
2002-01-01,232.14
2002-04-01,234.21
2002-07-01,238.7
2002-10-01,240.96
2003-01-01,243.52
2003-04-01,248.5
2003-07-01,254.04
2003-10-01,260.7
2004-01-01,265.18
2004-04-01,271.76
2004-07-01,281.17
2004-10-01,287.72
2005-01-01,294.93
2005-04-01,306.69
2005-07-01,315.77
2005-10-01,326.16
2006-01-01,332.82
2006-04-01,343.16
2006-07-01,351.73
2006-10-01,358.44
2007-01-01,365.19
2007-04-01,370.23
2007-07-01,373.86
2007-10-01,376.34
2008-01-01,380.03
2008-04-01,377.89
2008-07-01,371.93
2008-10-01,375.52
2009-01-01,377.21
2009-04-01,372.32
2009-07-01,363.41
2009-10-01,360.93
2010-01-01,354.26
2010-04-01,350.36
2010-07-01,355.05
2010-10-01,353.83
2011-01-01,343.0
2011-04-01,341.9
2011-07-01,343.11
2011-10-01,344.88
2012-01-01,346.73
2012-04-01,346.05
2012-07-01,349.4
2012-10-01,354.04
2013-01-01,357.2
2013-04-01,359.84
2013-07-01,364.69
2013-10-01,365.6
2014-01-01,369.71
2014-04-01,372.17
2014-07-01,380.4
2014-10-01,382.39
2015-01-01,384.92
2015-04-01,391.12
2015-07-01,394.23
2015-10-01,398.14
2016-01-01,402.05
2016-04-01,403.99
2016-07-01,410.13
2016-10-01,412.46
2017-01-01,419.79
2017-04-01,424.3
2017-07-01,432.37
2017-10-01,434.17
2018-01-01,441.5
2018-04-01,450.62
2018-07-01,455.57
2018-10-01,460.99
2019-01-01,463.42
2019-04-01,472.71
2019-07-01,479.59
2019-10-01,485.72
2020-01-01,492.72
2020-04-01,493.6
2020-07-01,507.34
2020-10-01,524.27
2021-01-01,541.67
2021-04-01,583.95
2021-07-01,626.35
2021-10-01,655.3
2022-01-01,683.62
2022-04-01,737.7
