DATE,NCSTHPI
1975-01-01,65.99
1975-04-01,67.08
1975-07-01,68.92
1975-10-01,70.48
1976-01-01,68.62
1976-04-01,69.82
1976-07-01,70.65
1976-10-01,70.73
1977-01-01,75.04
1977-04-01,74.03
1977-07-01,76.69
1977-10-01,81.54
1978-01-01,82.95
1978-04-01,83.03
1978-07-01,86.73
1978-10-01,87.2
1979-01-01,90.04
1979-04-01,91.63
1979-07-01,96.16
1979-10-01,96.18
1980-01-01,100.00
1980-04-01,98.81
1980-07-01,101.23
1980-10-01,102.46
1981-01-01,106.07
1981-04-01,106.04
1981-07-01,105.97
1981-10-01,104.46
1982-01-01,106.68
1982-04-01,109.56
1982-07-01,107.52
1982-10-01,112.03
1983-01-01,112.86
1983-04-01,111.32
1983-07-01,114.11
1983-10-01,115.47
1984-01-01,118.14
1984-04-01,122.37
1984-07-01,121.73
1984-10-01,124.99
1985-01-01,127.84
1985-04-01,130.22
1985-07-01,133.06
1985-10-01,134.86
1986-01-01,136.07
1986-04-01,138.67
1986-07-01,141.13
1986-10-01,142.88
1987-01-01,145.65
1987-04-01,147.15
1987-07-01,149.63
1987-10-01,150.65
1988-01-01,151.75
1988-04-01,154.16
1988-07-01,155.68
1988-10-01,156.29
1989-01-01,156.78
1989-04-01,157.62
1989-07-01,160.39
1989-10-01,160.9
1990-01-01,161.18
1990-04-01,161.61
1990-07-01,163.09
1990-10-01,162.97
1991-01-01,163.95
1991-04-01,165.14
1991-07-01,165.51
1991-10-01,167.83
1992-01-01,168.91
1992-04-01,169.25
1992-07-01,171.32
1992-10-01,172.1
1993-01-01,172.53
1993-04-01,174.02
1993-07-01,175.86
1993-10-01,177.29
1994-01-01,178.91
1994-04-01,181.73
1994-07-01,184.16
1994-10-01,186.38
1995-01-01,187.88
1995-04-01,190.55
1995-07-01,193.73
1995-10-01,195.59
1996-01-01,197.95
1996-04-01,199.68
1996-07-01,202.1
1996-10-01,203.67
1997-01-01,206.21
1997-04-01,208.82
1997-07-01,211.67
1997-10-01,214.71
1998-01-01,217.46
1998-04-01,218.96
1998-07-01,222.2
1998-10-01,224.3
1999-01-01,226.24
1999-04-01,228.61
1999-07-01,229.93
1999-10-01,231.04
2000-01-01,233.06
2000-04-01,235.98
2000-07-01,239.01
2000-10-01,241.65
2001-01-01,246.88
2001-04-01,249.06
2001-07-01,251.04
2001-10-01,253.33
2002-01-01,254.89
2002-04-01,255.97
2002-07-01,259.51
2002-10-01,261.25
2003-01-01,263.42
2003-04-01,265.16
2003-07-01,266.48
2003-10-01,268.87
2004-01-01,271.94
2004-04-01,274.42
2004-07-01,277.32
2004-10-01,282.03
2005-01-01,286.51
2005-04-01,290.32
2005-07-01,296.93
2005-10-01,303.22
2006-01-01,308.2
2006-04-01,312.41
2006-07-01,317.7
2006-10-01,323.48
2007-01-01,328.63
2007-04-01,331.75
2007-07-01,333.05
2007-10-01,335.59
2008-01-01,338.43
2008-04-01,337.8
2008-07-01,333.81
2008-10-01,333.62
2009-01-01,337.42
2009-04-01,331.68
2009-07-01,323.95
2009-10-01,320.12
2010-01-01,314.82
2010-04-01,312.25
2010-07-01,314.34
2010-10-01,312.59
2011-01-01,305.56
2011-04-01,299.42
2011-07-01,300.89
2011-10-01,302.08
2012-01-01,297.79
2012-04-01,294.25
2012-07-01,297.28
2012-10-01,298.54
2013-01-01,297.95
2013-04-01,299.48
2013-07-01,300.09
2013-10-01,299.36
2014-01-01,301.01
2014-04-01,305.04
2014-07-01,308.08
2014-10-01,309.17
2015-01-01,314.13
2015-04-01,317.81
2015-07-01,320.39
2015-10-01,323.29
2016-01-01,327.04
2016-04-01,332.15
2016-07-01,338.76
2016-10-01,340.47
2017-01-01,341.84
2017-04-01,352.13
2017-07-01,356.81
2017-10-01,358.46
2018-01-01,365.17
2018-04-01,373.28
2018-07-01,378.2
2018-10-01,380.8
2019-01-01,386.77
2019-04-01,393.61
2019-07-01,398.12
2019-10-01,403.24
2020-01-01,409.25
2020-04-01,412.67
2020-07-01,420.34
2020-10-01,430.73
2021-01-01,441.53
2021-04-01,467.64
2021-07-01,499.05
2021-10-01,521.61
2022-01-01,547.04
2022-04-01,592.23
