DATE,NDSTHPI
1975-01-01,67.53
1975-04-01,59.43
1975-07-01,65.82
1975-10-01,62.86
1976-01-01,74.57
1976-04-01,72.42
1976-07-01,71.02
1976-10-01,72.09
1977-01-01,81.68
1977-04-01,85.26
1977-07-01,79.41
1977-10-01,77.74
1978-01-01,87.69
1978-04-01,83.75
1978-07-01,89.29
1978-10-01,85.49
1979-01-01,99.13
1979-04-01,98.03
1979-07-01,97.24
1979-10-01,99.6
1980-01-01,100.00
1980-04-01,106.9
1980-07-01,99.26
1980-10-01,95.68
1981-01-01,105.1
1981-04-01,97.64
1981-07-01,116.17
1981-10-01,109.66
1982-01-01,98.97
1982-04-01,83.41
1982-07-01,72.52
1982-10-01,98.22
1983-01-01,98.71
1983-04-01,106.42
1983-07-01,89.21
1983-10-01,106.73
1984-01-01,117.99
1984-04-01,112.1
1984-07-01,114.53
1984-10-01,109.07
1985-01-01,109.15
1985-04-01,109.62
1985-07-01,113.54
1985-10-01,108.43
1986-01-01,112.64
1986-04-01,111.74
1986-07-01,111.27
1986-10-01,109.02
1987-01-01,112.83
1987-04-01,110.26
1987-07-01,110.36
1987-10-01,110.01
1988-01-01,107.2
1988-04-01,108.91
1988-07-01,109.52
1988-10-01,104.83
1989-01-01,108.53
1989-04-01,107.87
1989-07-01,110.49
1989-10-01,111.22
1990-01-01,110.74
1990-04-01,110.44
1990-07-01,112.04
1990-10-01,110.76
1991-01-01,112.77
1991-04-01,113.89
1991-07-01,114.22
1991-10-01,115.26
1992-01-01,117.57
1992-04-01,117.79
1992-07-01,119.1
1992-10-01,120.18
1993-01-01,120.9
1993-04-01,123.75
1993-07-01,126.06
1993-10-01,126.82
1994-01-01,128.44
1994-04-01,132.09
1994-07-01,133.77
1994-10-01,134.06
1995-01-01,136.56
1995-04-01,137.77
1995-07-01,139.47
1995-10-01,140.43
1996-01-01,143.76
1996-04-01,142.47
1996-07-01,144.78
1996-10-01,144.74
1997-01-01,145.36
1997-04-01,145.78
1997-07-01,148.2
1997-10-01,150.37
1998-01-01,152.86
1998-04-01,154.04
1998-07-01,156.05
1998-10-01,156.77
1999-01-01,157.04
1999-04-01,157.62
1999-07-01,158.07
1999-10-01,156.8
2000-01-01,158.45
2000-04-01,159.62
2000-07-01,161.33
2000-10-01,162.53
2001-01-01,166.71
2001-04-01,167.86
2001-07-01,169.23
2001-10-01,170.48
2002-01-01,172.54
2002-04-01,174.0
2002-07-01,177.93
2002-10-01,179.79
2003-01-01,181.05
2003-04-01,183.77
2003-07-01,186.33
2003-10-01,189.82
2004-01-01,191.91
2004-04-01,194.94
2004-07-01,200.98
2004-10-01,205.09
2005-01-01,206.29
2005-04-01,212.79
2005-07-01,217.64
2005-10-01,220.41
2006-01-01,221.34
2006-04-01,227.87
2006-07-01,230.58
2006-10-01,231.04
2007-01-01,235.95
2007-04-01,238.66
2007-07-01,240.33
2007-10-01,240.99
2008-01-01,245.16
2008-04-01,246.22
2008-07-01,246.33
2008-10-01,248.36
2009-01-01,250.04
2009-04-01,249.77
2009-07-01,249.5
2009-10-01,251.62
2010-01-01,251.51
2010-04-01,251.44
2010-07-01,253.63
2010-10-01,256.45
2011-01-01,257.91
2011-04-01,261.32
2011-07-01,264.34
2011-10-01,266.76
2012-01-01,268.86
2012-04-01,276.27
2012-07-01,280.89
2012-10-01,288.28
2013-01-01,293.12
2013-04-01,299.62
2013-07-01,310.6
2013-10-01,315.04
2014-01-01,318.16
2014-04-01,322.52
2014-07-01,330.33
2014-10-01,335.3
2015-01-01,338.63
2015-04-01,341.31
2015-07-01,347.93
2015-10-01,348.53
2016-01-01,349.03
2016-04-01,351.24
2016-07-01,354.87
2016-10-01,354.41
2017-01-01,356.2
2017-04-01,355.59
2017-07-01,359.38
2017-10-01,357.7
2018-01-01,359.15
2018-04-01,361.13
2018-07-01,360.8
2018-10-01,362.71
2019-01-01,364.98
2019-04-01,370.03
2019-07-01,372.76
2019-10-01,374.65
2020-01-01,375.88
2020-04-01,375.15
2020-07-01,381.04
2020-10-01,385.41
2021-01-01,385.79
2021-04-01,396.34
2021-07-01,411.46
2021-10-01,419.48
2022-01-01,426.53
2022-04-01,447.99
