DATE,NESTHPI
1975-01-01,63.71
1975-04-01,62.62
1975-07-01,61.31
1975-10-01,67.84
1976-01-01,67.2
1976-04-01,67.67
1976-07-01,67.94
1976-10-01,70.49
1977-01-01,72.41
1977-04-01,73.96
1977-07-01,78.35
1977-10-01,80.02
1978-01-01,78.71
1978-04-01,85.79
1978-07-01,86.66
1978-10-01,87.25
1979-01-01,92.87
1979-04-01,94.19
1979-07-01,97.2
1979-10-01,98.25
1980-01-01,100.00
1980-04-01,103.31
1980-07-01,101.72
1980-10-01,105.87
1981-01-01,102.24
1981-04-01,102.68
1981-07-01,100.48
1981-10-01,100.2
1982-01-01,106.27
1982-04-01,107.15
1982-07-01,109.26
1982-10-01,108.83
1983-01-01,108.9
1983-04-01,109.22
1983-07-01,111.43
1983-10-01,112.04
1984-01-01,110.39
1984-04-01,112.82
1984-07-01,112.31
1984-10-01,111.47
1985-01-01,111.45
1985-04-01,113.0
1985-07-01,113.16
1985-10-01,114.24
1986-01-01,115.48
1986-04-01,115.61
1986-07-01,115.61
1986-10-01,117.04
1987-01-01,117.56
1987-04-01,116.93
1987-07-01,115.5
1987-10-01,116.11
1988-01-01,117.11
1988-04-01,117.83
1988-07-01,118.55
1988-10-01,118.3
1989-01-01,119.5
1989-04-01,120.58
1989-07-01,121.83
1989-10-01,122.77
1990-01-01,123.73
1990-04-01,125.74
1990-07-01,126.96
1990-10-01,127.02
1991-01-01,128.23
1991-04-01,129.62
1991-07-01,130.78
1991-10-01,131.53
1992-01-01,133.29
1992-04-01,135.09
1992-07-01,137.18
1992-10-01,138.17
1993-01-01,139.39
1993-04-01,141.12
1993-07-01,143.33
1993-10-01,145.56
1994-01-01,147.45
1994-04-01,152.23
1994-07-01,155.78
1994-10-01,155.74
1995-01-01,157.77
1995-04-01,160.7
1995-07-01,163.03
1995-10-01,164.07
1996-01-01,166.01
1996-04-01,169.53
1996-07-01,172.0
1996-10-01,172.95
1997-01-01,174.52
1997-04-01,177.92
1997-07-01,180.12
1997-10-01,182.51
1998-01-01,184.13
1998-04-01,185.32
1998-07-01,188.1
1998-10-01,190.3
1999-01-01,191.72
1999-04-01,195.31
1999-07-01,196.09
1999-10-01,197.4
2000-01-01,198.56
2000-04-01,201.32
2000-07-01,203.19
2000-10-01,204.69
2001-01-01,207.34
2001-04-01,209.64
2001-07-01,211.43
2001-10-01,213.13
2002-01-01,214.83
2002-04-01,216.19
2002-07-01,218.26
2002-10-01,219.69
2003-01-01,220.87
2003-04-01,222.1
2003-07-01,224.49
2003-10-01,228.13
2004-01-01,229.29
2004-04-01,232.58
2004-07-01,237.2
2004-10-01,239.14
2005-01-01,240.78
2005-04-01,244.25
2005-07-01,247.76
2005-10-01,247.0
2006-01-01,247.02
2006-04-01,249.54
2006-07-01,250.58
2006-10-01,250.77
2007-01-01,251.74
2007-04-01,253.59
2007-07-01,252.55
2007-10-01,252.04
2008-01-01,254.01
2008-04-01,252.06
2008-07-01,249.8
2008-10-01,251.08
2009-01-01,253.11
2009-04-01,251.99
2009-07-01,249.51
2009-10-01,249.32
2010-01-01,247.08
2010-04-01,248.83
2010-07-01,251.1
2010-10-01,249.76
2011-01-01,247.58
2011-04-01,246.7
2011-07-01,249.15
2011-10-01,250.8
2012-01-01,250.48
2012-04-01,250.82
2012-07-01,251.97
2012-10-01,253.27
2013-01-01,254.74
2013-04-01,257.51
2013-07-01,258.89
2013-10-01,260.56
2014-01-01,260.72
2014-04-01,266.38
2014-07-01,268.85
2014-10-01,270.54
2015-01-01,272.33
2015-04-01,277.1
2015-07-01,281.78
2015-10-01,282.69
2016-01-01,282.5
2016-04-01,288.34
2016-07-01,293.74
2016-10-01,294.57
2017-01-01,298.15
2017-04-01,306.57
2017-07-01,310.11
2017-10-01,311.92
2018-01-01,315.1
2018-04-01,321.94
2018-07-01,326.81
2018-10-01,327.58
2019-01-01,331.84
2019-04-01,339.02
2019-07-01,342.14
2019-10-01,344.2
2020-01-01,348.32
2020-04-01,350.92
2020-07-01,355.61
2020-10-01,362.79
2021-01-01,369.08
2021-04-01,390.65
2021-07-01,410.04
2021-10-01,418.88
2022-01-01,429.56
2022-04-01,462.53
