DATE,NVSTHPI
1975-01-01,52.24
1975-04-01,51.96
1975-07-01,53.89
1975-10-01,46.72
1976-01-01,58.81
1976-04-01,61.56
1976-07-01,61.23
1976-10-01,60.88
1977-01-01,63.64
1977-04-01,65.49
1977-07-01,70.27
1977-10-01,72.41
1978-01-01,73.92
1978-04-01,78.92
1978-07-01,83.41
1978-10-01,89.62
1979-01-01,91.43
1979-04-01,98.45
1979-07-01,97.57
1979-10-01,99.79
1980-01-01,100.00
1980-04-01,101.48
1980-07-01,105.15
1980-10-01,105.84
1981-01-01,108.33
1981-04-01,116.61
1981-07-01,117.81
1981-10-01,115.09
1982-01-01,119.09
1982-04-01,119.67
1982-07-01,119.52
1982-10-01,118.74
1983-01-01,116.67
1983-04-01,117.97
1983-07-01,119.3
1983-10-01,114.44
1984-01-01,120.0
1984-04-01,117.28
1984-07-01,113.06
1984-10-01,116.61
1985-01-01,117.31
1985-04-01,117.47
1985-07-01,118.11
1985-10-01,118.93
1986-01-01,121.46
1986-04-01,123.63
1986-07-01,124.04
1986-10-01,123.45
1987-01-01,126.48
1987-04-01,125.64
1987-07-01,125.4
1987-10-01,124.45
1988-01-01,125.71
1988-04-01,126.65
1988-07-01,128.2
1988-10-01,129.84
1989-01-01,130.01
1989-04-01,132.33
1989-07-01,135.75
1989-10-01,137.6
1990-01-01,140.23
1990-04-01,142.5
1990-07-01,146.17
1990-10-01,147.71
1991-01-01,150.97
1991-04-01,151.93
1991-07-01,152.67
1991-10-01,156.27
1992-01-01,157.48
1992-04-01,157.02
1992-07-01,159.79
1992-10-01,160.74
1993-01-01,160.61
1993-04-01,162.04
1993-07-01,163.26
1993-10-01,164.13
1994-01-01,164.36
1994-04-01,165.09
1994-07-01,165.68
1994-10-01,165.38
1995-01-01,166.63
1995-04-01,170.37
1995-07-01,172.83
1995-10-01,174.05
1996-01-01,176.0
1996-04-01,175.29
1996-07-01,175.13
1996-10-01,177.16
1997-01-01,178.17
1997-04-01,178.34
1997-07-01,180.97
1997-10-01,182.19
1998-01-01,184.59
1998-04-01,184.74
1998-07-01,185.52
1998-10-01,186.84
1999-01-01,187.25
1999-04-01,186.99
1999-07-01,188.33
1999-10-01,188.53
2000-01-01,190.18
2000-04-01,192.57
2000-07-01,194.31
2000-10-01,197.15
2001-01-01,201.53
2001-04-01,204.1
2001-07-01,207.92
2001-10-01,210.55
2002-01-01,213.58
2002-04-01,217.05
2002-07-01,221.79
2002-10-01,224.28
2003-01-01,228.32
2003-04-01,232.83
2003-07-01,239.52
2003-10-01,253.83
2004-01-01,267.28
2004-04-01,291.54
2004-07-01,328.85
2004-10-01,341.34
2005-01-01,354.98
2005-04-01,373.85
2005-07-01,387.04
2005-10-01,401.36
2006-01-01,410.37
2006-04-01,411.05
2006-07-01,412.45
2006-10-01,411.37
2007-01-01,408.58
2007-04-01,400.09
2007-07-01,386.73
2007-10-01,376.66
2008-01-01,355.85
2008-04-01,327.29
2008-07-01,294.33
2008-10-01,278.79
2009-01-01,277.02
2009-04-01,257.25
2009-07-01,239.32
2009-10-01,232.13
2010-01-01,223.29
2010-04-01,215.45
2010-07-01,216.94
2010-10-01,211.18
2011-01-01,199.68
2011-04-01,186.03
2011-07-01,184.91
2011-10-01,185.12
2012-01-01,183.62
2012-04-01,182.65
2012-07-01,187.3
2012-10-01,192.3
2013-01-01,198.57
2013-04-01,211.05
2013-07-01,224.31
2013-10-01,234.15
2014-01-01,239.87
2014-04-01,247.61
2014-07-01,256.68
2014-10-01,260.18
2015-01-01,266.29
2015-04-01,274.65
2015-07-01,282.13
2015-10-01,289.1
2016-01-01,292.55
2016-04-01,300.09
2016-07-01,308.88
2016-10-01,312.75
2017-01-01,317.27
2017-04-01,327.19
2017-07-01,338.84
2017-10-01,347.03
2018-01-01,357.87
2018-04-01,373.18
2018-07-01,384.12
2018-10-01,389.96
2019-01-01,392.52
2019-04-01,398.59
2019-07-01,401.58
2019-10-01,404.64
2020-01-01,409.08
2020-04-01,413.95
2020-07-01,420.15
2020-10-01,429.55
2021-01-01,444.82
2021-04-01,474.08
2021-07-01,510.86
2021-10-01,532.68
2022-01-01,555.05
2022-04-01,594.96
