DATE,NYSTHPI
1975-01-01,78.32
1975-04-01,75.78
1975-07-01,77.7
1975-10-01,79.68
1976-01-01,73.06
1976-04-01,74.89
1976-07-01,75.54
1976-10-01,73.92
1977-01-01,77.79
1977-04-01,82.89
1977-07-01,82.52
1977-10-01,84.6
1978-01-01,83.35
1978-04-01,87.49
1978-07-01,83.99
1978-10-01,83.94
1979-01-01,96.61
1979-04-01,95.9
1979-07-01,94.71
1979-10-01,98.15
1980-01-01,100.00
1980-04-01,107.15
1980-07-01,114.9
1980-10-01,111.22
1981-01-01,112.03
1981-04-01,108.35
1981-07-01,115.69
1981-10-01,114.35
1982-01-01,123.34
1982-04-01,125.12
1982-07-01,122.37
1982-10-01,126.42
1983-01-01,128.69
1983-04-01,132.74
1983-07-01,138.21
1983-10-01,147.09
1984-01-01,150.63
1984-04-01,156.6
1984-07-01,162.13
1984-10-01,169.15
1985-01-01,176.19
1985-04-01,184.51
1985-07-01,191.03
1985-10-01,198.54
1986-01-01,206.44
1986-04-01,217.09
1986-07-01,226.97
1986-10-01,237.14
1987-01-01,246.56
1987-04-01,255.18
1987-07-01,266.87
1987-10-01,270.8
1988-01-01,277.13
1988-04-01,280.6
1988-07-01,282.71
1988-10-01,283.54
1989-01-01,283.34
1989-04-01,282.79
1989-07-01,285.81
1989-10-01,286.47
1990-01-01,286.43
1990-04-01,283.22
1990-07-01,281.58
1990-10-01,278.64
1991-01-01,278.23
1991-04-01,280.04
1991-07-01,279.16
1991-10-01,281.44
1992-01-01,286.71
1992-04-01,282.75
1992-07-01,285.88
1992-10-01,287.91
1993-01-01,282.58
1993-04-01,289.25
1993-07-01,288.35
1993-10-01,289.48
1994-01-01,286.15
1994-04-01,282.31
1994-07-01,280.82
1994-10-01,275.63
1995-01-01,274.29
1995-04-01,279.01
1995-07-01,283.67
1995-10-01,282.79
1996-01-01,287.58
1996-04-01,285.85
1996-07-01,283.8
1996-10-01,283.51
1997-01-01,283.62
1997-04-01,286.97
1997-07-01,289.45
1997-10-01,292.39
1998-01-01,298.92
1998-04-01,301.18
1998-07-01,303.5
1998-10-01,307.6
1999-01-01,309.93
1999-04-01,315.68
1999-07-01,324.63
1999-10-01,330.77
2000-01-01,335.53
2000-04-01,345.58
2000-07-01,355.69
2000-10-01,361.12
2001-01-01,369.28
2001-04-01,377.46
2001-07-01,387.83
2001-10-01,394.68
2002-01-01,404.34
2002-04-01,417.15
2002-07-01,429.78
2002-10-01,439.06
2003-01-01,448.88
2003-04-01,459.78
2003-07-01,466.83
2003-10-01,488.76
2004-01-01,499.05
2004-04-01,513.72
2004-07-01,538.77
2004-10-01,552.37
2005-01-01,567.1
2005-04-01,585.84
2005-07-01,605.0
2005-10-01,618.71
2006-01-01,629.77
2006-04-01,631.68
2006-07-01,631.0
2006-10-01,639.09
2007-01-01,642.18
2007-04-01,640.04
2007-07-01,630.88
2007-10-01,632.85
2008-01-01,636.18
2008-04-01,624.15
2008-07-01,607.96
2008-10-01,602.25
2009-01-01,609.39
2009-04-01,596.31
2009-07-01,582.13
2009-10-01,576.97
2010-01-01,573.25
2010-04-01,569.67
2010-07-01,577.71
2010-10-01,577.52
2011-01-01,568.83
2011-04-01,560.8
2011-07-01,558.28
2011-10-01,562.6
2012-01-01,558.33
2012-04-01,552.61
2012-07-01,554.47
2012-10-01,556.27
2013-01-01,556.99
2013-04-01,558.52
2013-07-01,561.26
2013-10-01,560.38
2014-01-01,560.83
2014-04-01,566.52
2014-07-01,574.87
2014-10-01,578.06
2015-01-01,583.52
2015-04-01,588.27
2015-07-01,593.24
2015-10-01,594.18
2016-01-01,597.31
2016-04-01,606.95
2016-07-01,615.2
2016-10-01,620.67
2017-01-01,622.49
2017-04-01,632.44
2017-07-01,644.97
2017-10-01,650.97
2018-01-01,658.03
2018-04-01,666.09
2018-07-01,677.05
2018-10-01,677.27
2019-01-01,682.96
2019-04-01,693.96
2019-07-01,704.08
2019-10-01,711.64
2020-01-01,718.3
2020-04-01,724.02
2020-07-01,735.71
2020-10-01,751.92
2021-01-01,769.84
2021-04-01,797.06
2021-07-01,837.88
2021-10-01,856.86
2022-01-01,878.26
2022-04-01,929.95
