DATE,PASTHPI
1975-01-01,70.76
1975-04-01,69.64
1975-07-01,74.14
1975-10-01,71.84
1976-01-01,72.71
1976-04-01,76.73
1976-07-01,77.39
1976-10-01,75.12
1977-01-01,74.63
1977-04-01,80.26
1977-07-01,80.89
1977-10-01,83.43
1978-01-01,84.07
1978-04-01,87.55
1978-07-01,86.47
1978-10-01,87.76
1979-01-01,92.53
1979-04-01,97.06
1979-07-01,96.36
1979-10-01,98.85
1980-01-01,100.00
1980-04-01,96.22
1980-07-01,101.53
1980-10-01,101.61
1981-01-01,101.78
1981-04-01,103.95
1981-07-01,104.42
1981-10-01,101.48
1982-01-01,103.71
1982-04-01,104.01
1982-07-01,104.47
1982-10-01,105.3
1983-01-01,108.73
1983-04-01,110.47
1983-07-01,112.92
1983-10-01,113.77
1984-01-01,113.74
1984-04-01,116.87
1984-07-01,118.7
1984-10-01,119.58
1985-01-01,121.13
1985-04-01,124.25
1985-07-01,126.72
1985-10-01,128.43
1986-01-01,131.44
1986-04-01,135.13
1986-07-01,139.74
1986-10-01,144.35
1987-01-01,149.17
1987-04-01,155.19
1987-07-01,162.81
1987-10-01,168.42
1988-01-01,171.74
1988-04-01,178.98
1988-07-01,183.73
1988-10-01,185.43
1989-01-01,187.7
1989-04-01,189.03
1989-07-01,193.2
1989-10-01,195.56
1990-01-01,195.87
1990-04-01,196.16
1990-07-01,196.7
1990-10-01,195.98
1991-01-01,197.55
1991-04-01,199.13
1991-07-01,199.26
1991-10-01,202.84
1992-01-01,203.92
1992-04-01,203.55
1992-07-01,205.49
1992-10-01,206.81
1993-01-01,206.47
1993-04-01,207.92
1993-07-01,208.66
1993-10-01,210.54
1994-01-01,210.46
1994-04-01,209.28
1994-07-01,207.61
1994-10-01,206.01
1995-01-01,205.41
1995-04-01,208.82
1995-07-01,212.44
1995-10-01,213.62
1996-01-01,216.34
1996-04-01,213.82
1996-07-01,213.05
1996-10-01,214.44
1997-01-01,215.82
1997-04-01,215.68
1997-07-01,217.8
1997-10-01,220.05
1998-01-01,223.58
1998-04-01,224.03
1998-07-01,224.89
1998-10-01,227.88
1999-01-01,229.44
1999-04-01,230.11
1999-07-01,231.09
1999-10-01,232.17
2000-01-01,234.48
2000-04-01,237.93
2000-07-01,240.41
2000-10-01,243.27
2001-01-01,249.56
2001-04-01,253.54
2001-07-01,256.92
2001-10-01,260.18
2002-01-01,264.19
2002-04-01,268.81
2002-07-01,274.36
2002-10-01,279.12
2003-01-01,282.31
2003-04-01,285.98
2003-07-01,291.91
2003-10-01,300.54
2004-01-01,305.81
2004-04-01,313.82
2004-07-01,326.75
2004-10-01,334.04
2005-01-01,340.98
2005-04-01,352.65
2005-07-01,364.27
2005-10-01,371.81
2006-01-01,378.5
2006-04-01,382.72
2006-07-01,387.09
2006-10-01,391.67
2007-01-01,395.09
2007-04-01,396.73
2007-07-01,394.92
2007-10-01,396.63
2008-01-01,399.44
2008-04-01,394.45
2008-07-01,387.68
2008-10-01,387.18
2009-01-01,391.07
2009-04-01,385.28
2009-07-01,378.0
2009-10-01,376.66
2010-01-01,374.19
2010-04-01,372.24
2010-07-01,376.71
2010-10-01,375.77
2011-01-01,369.94
2011-04-01,364.81
2011-07-01,365.34
2011-10-01,366.77
2012-01-01,363.73
2012-04-01,362.03
2012-07-01,363.98
2012-10-01,365.0
2013-01-01,365.18
2013-04-01,366.41
2013-07-01,367.94
2013-10-01,367.16
2014-01-01,367.21
2014-04-01,371.9
2014-07-01,374.57
2014-10-01,375.3
2015-01-01,379.38
2015-04-01,381.84
2015-07-01,383.56
2015-10-01,384.06
2016-01-01,385.74
2016-04-01,391.74
2016-07-01,395.85
2016-10-01,396.81
2017-01-01,397.69
2017-04-01,404.89
2017-07-01,409.9
2017-10-01,411.05
2018-01-01,415.68
2018-04-01,421.28
2018-07-01,425.42
2018-10-01,425.5
2019-01-01,430.22
2019-04-01,438.38
2019-07-01,444.27
2019-10-01,447.2
2020-01-01,452.91
2020-04-01,456.71
2020-07-01,466.11
2020-10-01,474.41
2021-01-01,485.94
2021-04-01,507.53
2021-07-01,532.13
2021-10-01,543.92
2022-01-01,559.2
2022-04-01,589.68
