DATE,SCSTHPI
1975-01-01,75.24
1975-04-01,69.68
1975-07-01,72.08
1975-10-01,69.9
1976-01-01,70.9
1976-04-01,77.21
1976-07-01,76.45
1976-10-01,75.53
1977-01-01,75.77
1977-04-01,78.99
1977-07-01,81.23
1977-10-01,82.72
1978-01-01,82.23
1978-04-01,86.71
1978-07-01,88.14
1978-10-01,89.58
1979-01-01,93.76
1979-04-01,95.69
1979-07-01,97.59
1979-10-01,100.19
1980-01-01,100.00
1980-04-01,103.77
1980-07-01,109.06
1980-10-01,106.04
1981-01-01,113.36
1981-04-01,115.71
1981-07-01,117.71
1981-10-01,115.67
1982-01-01,119.27
1982-04-01,118.67
1982-07-01,120.27
1982-10-01,119.77
1983-01-01,123.93
1983-04-01,121.38
1983-07-01,124.45
1983-10-01,120.7
1984-01-01,127.36
1984-04-01,125.92
1984-07-01,123.74
1984-10-01,128.06
1985-01-01,130.96
1985-04-01,131.18
1985-07-01,132.02
1985-10-01,132.42
1986-01-01,135.65
1986-04-01,136.69
1986-07-01,138.58
1986-10-01,140.68
1987-01-01,143.32
1987-04-01,144.76
1987-07-01,144.83
1987-10-01,145.57
1988-01-01,148.04
1988-04-01,150.06
1988-07-01,151.13
1988-10-01,151.83
1989-01-01,154.27
1989-04-01,154.37
1989-07-01,157.85
1989-10-01,158.23
1990-01-01,159.75
1990-04-01,161.23
1990-07-01,162.59
1990-10-01,161.53
1991-01-01,163.35
1991-04-01,164.97
1991-07-01,165.98
1991-10-01,168.62
1992-01-01,169.5
1992-04-01,169.72
1992-07-01,172.28
1992-10-01,172.89
1993-01-01,173.15
1993-04-01,174.8
1993-07-01,176.93
1993-10-01,177.71
1994-01-01,178.65
1994-04-01,179.9
1994-07-01,180.66
1994-10-01,181.21
1995-01-01,182.82
1995-04-01,185.1
1995-07-01,187.49
1995-10-01,189.72
1996-01-01,192.47
1996-04-01,193.29
1996-07-01,194.78
1996-10-01,197.61
1997-01-01,198.88
1997-04-01,201.39
1997-07-01,204.67
1997-10-01,207.41
1998-01-01,210.53
1998-04-01,212.68
1998-07-01,215.78
1998-10-01,218.68
1999-01-01,221.72
1999-04-01,224.81
1999-07-01,227.03
1999-10-01,228.94
2000-01-01,231.36
2000-04-01,234.18
2000-07-01,236.99
2000-10-01,240.24
2001-01-01,246.47
2001-04-01,249.25
2001-07-01,251.1
2001-10-01,254.03
2002-01-01,255.5
2002-04-01,256.93
2002-07-01,260.99
2002-10-01,263.22
2003-01-01,264.69
2003-04-01,267.37
2003-07-01,268.96
2003-10-01,271.45
2004-01-01,274.61
2004-04-01,276.96
2004-07-01,282.22
2004-10-01,287.51
2005-01-01,292.42
2005-04-01,297.5
2005-07-01,304.99
2005-10-01,311.77
2006-01-01,316.1
2006-04-01,321.36
2006-07-01,326.09
2006-10-01,334.25
2007-01-01,336.21
2007-04-01,338.67
2007-07-01,338.33
2007-10-01,342.88
2008-01-01,345.2
2008-04-01,343.43
2008-07-01,337.28
2008-10-01,338.26
2009-01-01,342.4
2009-04-01,338.08
2009-07-01,328.03
2009-10-01,324.27
2010-01-01,320.01
2010-04-01,315.02
2010-07-01,319.56
2010-10-01,317.08
2011-01-01,308.63
2011-04-01,301.15
2011-07-01,303.71
2011-10-01,306.83
2012-01-01,301.76
2012-04-01,300.26
2012-07-01,302.61
2012-10-01,302.73
2013-01-01,302.28
2013-04-01,303.16
2013-07-01,303.64
2013-10-01,302.94
2014-01-01,304.14
2014-04-01,309.22
2014-07-01,312.76
2014-10-01,315.2
2015-01-01,320.89
2015-04-01,324.35
2015-07-01,327.41
2015-10-01,331.19
2016-01-01,334.11
2016-04-01,339.83
2016-07-01,347.7
2016-10-01,348.36
2017-01-01,352.39
2017-04-01,358.81
2017-07-01,365.67
2017-10-01,367.44
2018-01-01,375.51
2018-04-01,380.31
2018-07-01,385.56
2018-10-01,387.0
2019-01-01,392.41
2019-04-01,400.55
2019-07-01,405.86
2019-10-01,409.8
2020-01-01,415.69
2020-04-01,418.91
2020-07-01,426.04
2020-10-01,434.44
2021-01-01,444.75
2021-04-01,469.51
2021-07-01,496.03
2021-10-01,519.24
2022-01-01,543.68
2022-04-01,579.75
