DATE,SDSTHPI
1975-01-01,75.07
1975-04-01,70.26
1975-07-01,65.12
1975-10-01,63.86
1976-01-01,62.91
1976-04-01,67.73
1976-07-01,68.73
1976-10-01,66.64
1977-01-01,62.84
1977-04-01,70.55
1977-07-01,79.09
1977-10-01,81.51
1978-01-01,76.04
1978-04-01,84.23
1978-07-01,85.83
1978-10-01,85.64
1979-01-01,89.42
1979-04-01,90.67
1979-07-01,99.17
1979-10-01,91.07
1980-01-01,100.00
1980-04-01,107.07
1980-07-01,98.03
1980-10-01,95.04
1981-01-01,92.31
1981-04-01,98.54
1981-07-01,104.09
1981-10-01,86.8
1982-01-01,68.78
1982-04-01,110.23
1982-07-01,106.64
1982-10-01,118.63
1983-01-01,100.76
1983-04-01,121.53
1983-07-01,100.88
1983-10-01,99.07
1984-01-01,113.61
1984-04-01,109.55
1984-07-01,118.1
1984-10-01,106.88
1985-01-01,109.53
1985-04-01,108.96
1985-07-01,112.88
1985-10-01,112.76
1986-01-01,116.98
1986-04-01,118.07
1986-07-01,113.86
1986-10-01,117.06
1987-01-01,120.73
1987-04-01,118.43
1987-07-01,117.87
1987-10-01,119.15
1988-01-01,115.12
1988-04-01,115.62
1988-07-01,118.55
1988-10-01,116.59
1989-01-01,120.7
1989-04-01,117.09
1989-07-01,121.84
1989-10-01,119.33
1990-01-01,119.79
1990-04-01,125.45
1990-07-01,126.05
1990-10-01,125.42
1991-01-01,128.0
1991-04-01,131.5
1991-07-01,130.22
1991-10-01,132.89
1992-01-01,136.46
1992-04-01,136.59
1992-07-01,140.51
1992-10-01,142.14
1993-01-01,143.69
1993-04-01,147.34
1993-07-01,150.06
1993-10-01,152.25
1994-01-01,156.0
1994-04-01,158.27
1994-07-01,159.54
1994-10-01,162.66
1995-01-01,160.5
1995-04-01,166.11
1995-07-01,167.26
1995-10-01,170.34
1996-01-01,173.11
1996-04-01,172.53
1996-07-01,174.94
1996-10-01,173.97
1997-01-01,176.84
1997-04-01,179.73
1997-07-01,181.52
1997-10-01,184.07
1998-01-01,186.74
1998-04-01,187.69
1998-07-01,189.0
1998-10-01,188.93
1999-01-01,191.94
1999-04-01,194.25
1999-07-01,195.22
1999-10-01,196.34
2000-01-01,197.53
2000-04-01,201.22
2000-07-01,204.75
2000-10-01,204.91
2001-01-01,209.28
2001-04-01,212.42
2001-07-01,214.23
2001-10-01,215.17
2002-01-01,218.14
2002-04-01,221.1
2002-07-01,223.71
2002-10-01,225.08
2003-01-01,227.02
2003-04-01,228.26
2003-07-01,232.39
2003-10-01,237.27
2004-01-01,237.89
2004-04-01,242.22
2004-07-01,247.15
2004-10-01,250.54
2005-01-01,253.98
2005-04-01,260.02
2005-07-01,264.03
2005-10-01,268.22
2006-01-01,268.05
2006-04-01,272.55
2006-07-01,277.15
2006-10-01,278.01
2007-01-01,281.02
2007-04-01,283.79
2007-07-01,285.91
2007-10-01,288.16
2008-01-01,291.31
2008-04-01,291.79
2008-07-01,291.44
2008-10-01,293.44
2009-01-01,296.11
2009-04-01,294.89
2009-07-01,291.57
2009-10-01,290.4
2010-01-01,288.53
2010-04-01,288.19
2010-07-01,292.78
2010-10-01,292.98
2011-01-01,291.22
2011-04-01,288.75
2011-07-01,291.74
2011-10-01,293.38
2012-01-01,293.34
2012-04-01,294.98
2012-07-01,296.45
2012-10-01,300.22
2013-01-01,303.19
2013-04-01,304.44
2013-07-01,308.59
2013-10-01,309.96
2014-01-01,309.34
2014-04-01,314.62
2014-07-01,317.26
2014-10-01,320.32
2015-01-01,323.13
2015-04-01,327.34
2015-07-01,330.69
2015-10-01,334.42
2016-01-01,337.28
2016-04-01,340.27
2016-07-01,346.82
2016-10-01,348.94
2017-01-01,351.94
2017-04-01,359.59
2017-07-01,364.49
2017-10-01,365.55
2018-01-01,370.43
2018-04-01,374.42
2018-07-01,379.5
2018-10-01,383.47
2019-01-01,385.68
2019-04-01,391.3
2019-07-01,396.34
2019-10-01,401.19
2020-01-01,406.43
2020-04-01,408.18
2020-07-01,413.69
2020-10-01,424.21
2021-01-01,429.66
2021-04-01,458.7
2021-07-01,484.27
2021-10-01,503.16
2022-01-01,519.83
2022-04-01,555.52
