DATE,TNSTHPI
1975-01-01,68.08
1975-04-01,68.77
1975-07-01,67.74
1975-10-01,70.92
1976-01-01,70.15
1976-04-01,68.58
1976-07-01,71.39
1976-10-01,71.57
1977-01-01,74.98
1977-04-01,77.55
1977-07-01,78.15
1977-10-01,79.64
1978-01-01,84.65
1978-04-01,83.45
1978-07-01,86.97
1978-10-01,90.73
1979-01-01,90.71
1979-04-01,91.86
1979-07-01,96.69
1979-10-01,96.29
1980-01-01,100.00
1980-04-01,100.24
1980-07-01,99.47
1980-10-01,100.23
1981-01-01,96.46
1981-04-01,106.44
1981-07-01,108.4
1981-10-01,97.5
1982-01-01,105.98
1982-04-01,98.84
1982-07-01,105.72
1982-10-01,103.69
1983-01-01,110.29
1983-04-01,110.62
1983-07-01,112.21
1983-10-01,113.73
1984-01-01,110.14
1984-04-01,116.29
1984-07-01,109.49
1984-10-01,118.96
1985-01-01,121.0
1985-04-01,121.85
1985-07-01,124.2
1985-10-01,125.71
1986-01-01,128.42
1986-04-01,130.41
1986-07-01,132.6
1986-10-01,134.55
1987-01-01,138.02
1987-04-01,140.49
1987-07-01,140.81
1987-10-01,142.69
1988-01-01,143.87
1988-04-01,144.63
1988-07-01,144.64
1988-10-01,144.26
1989-01-01,145.23
1989-04-01,146.18
1989-07-01,146.81
1989-10-01,146.91
1990-01-01,147.39
1990-04-01,147.17
1990-07-01,146.98
1990-10-01,146.5
1991-01-01,147.79
1991-04-01,148.48
1991-07-01,148.83
1991-10-01,151.24
1992-01-01,152.54
1992-04-01,152.12
1992-07-01,155.48
1992-10-01,155.3
1993-01-01,155.91
1993-04-01,158.13
1993-07-01,160.21
1993-10-01,161.84
1994-01-01,163.58
1994-04-01,165.79
1994-07-01,168.33
1994-10-01,169.56
1995-01-01,172.02
1995-04-01,175.33
1995-07-01,177.9
1995-10-01,180.49
1996-01-01,183.34
1996-04-01,185.02
1996-07-01,187.16
1996-10-01,188.77
1997-01-01,191.24
1997-04-01,192.9
1997-07-01,195.34
1997-10-01,198.04
1998-01-01,201.56
1998-04-01,203.01
1998-07-01,205.51
1998-10-01,207.85
1999-01-01,209.82
1999-04-01,210.33
1999-07-01,211.63
1999-10-01,212.43
2000-01-01,214.31
2000-04-01,215.5
2000-07-01,217.64
2000-10-01,219.59
2001-01-01,225.06
2001-04-01,226.21
2001-07-01,227.63
2001-10-01,230.34
2002-01-01,231.39
2002-04-01,231.8
2002-07-01,235.2
2002-10-01,237.28
2003-01-01,238.84
2003-04-01,240.87
2003-07-01,242.44
2003-10-01,245.07
2004-01-01,247.08
2004-04-01,249.88
2004-07-01,253.42
2004-10-01,256.49
2005-01-01,260.01
2005-04-01,265.73
2005-07-01,271.07
2005-10-01,275.44
2006-01-01,279.97
2006-04-01,285.37
2006-07-01,289.0
2006-10-01,294.33
2007-01-01,297.11
2007-04-01,300.72
2007-07-01,301.04
2007-10-01,303.15
2008-01-01,304.42
2008-04-01,303.3
2008-07-01,298.74
2008-10-01,300.05
2009-01-01,302.66
2009-04-01,299.58
2009-07-01,292.66
2009-10-01,289.83
2010-01-01,287.08
2010-04-01,285.75
2010-07-01,289.87
2010-10-01,287.77
2011-01-01,280.91
2011-04-01,277.33
2011-07-01,280.48
2011-10-01,281.26
2012-01-01,278.83
2012-04-01,277.67
2012-07-01,280.71
2012-10-01,281.22
2013-01-01,281.45
2013-04-01,284.03
2013-07-01,284.7
2013-10-01,286.35
2014-01-01,287.8
2014-04-01,293.71
2014-07-01,296.28
2014-10-01,300.39
2015-01-01,302.95
2015-04-01,306.6
2015-07-01,311.99
2015-10-01,314.83
2016-01-01,318.89
2016-04-01,324.83
2016-07-01,330.8
2016-10-01,335.21
2017-01-01,339.13
2017-04-01,347.71
2017-07-01,354.63
2017-10-01,359.24
2018-01-01,364.7
2018-04-01,372.77
2018-07-01,378.39
2018-10-01,382.08
2019-01-01,386.25
2019-04-01,393.81
2019-07-01,399.48
2019-10-01,404.52
2020-01-01,410.42
2020-04-01,414.87
2020-07-01,423.71
2020-10-01,434.02
2021-01-01,446.59
2021-04-01,474.11
2021-07-01,506.26
2021-10-01,532.41
2022-01-01,559.59
2022-04-01,603.52
