DATE,UTSTHPI
1975-01-01,55.02
1975-04-01,58.38
1975-07-01,55.17
1975-10-01,59.85
1976-01-01,61.5
1976-04-01,61.35
1976-07-01,64.77
1976-10-01,64.11
1977-01-01,69.68
1977-04-01,70.82
1977-07-01,74.8
1977-10-01,75.16
1978-01-01,81.52
1978-04-01,84.04
1978-07-01,87.21
1978-10-01,90.15
1979-01-01,94.69
1979-04-01,97.56
1979-07-01,97.96
1979-10-01,99.63
1980-01-01,100.00
1980-04-01,97.49
1980-07-01,103.98
1980-10-01,104.75
1981-01-01,106.19
1981-04-01,109.78
1981-07-01,108.62
1981-10-01,110.38
1982-01-01,106.65
1982-04-01,108.74
1982-07-01,111.84
1982-10-01,113.7
1983-01-01,114.29
1983-04-01,115.35
1983-07-01,111.59
1983-10-01,112.65
1984-01-01,112.24
1984-04-01,114.09
1984-07-01,114.82
1984-10-01,112.13
1985-01-01,116.61
1985-04-01,115.97
1985-07-01,116.32
1985-10-01,115.19
1986-01-01,119.18
1986-04-01,118.87
1986-07-01,118.2
1986-10-01,117.93
1987-01-01,119.28
1987-04-01,117.88
1987-07-01,113.63
1987-10-01,112.73
1988-01-01,112.79
1988-04-01,114.34
1988-07-01,112.06
1988-10-01,112.35
1989-01-01,113.38
1989-04-01,113.13
1989-07-01,115.56
1989-10-01,115.49
1990-01-01,116.46
1990-04-01,118.05
1990-07-01,118.98
1990-10-01,118.9
1991-01-01,122.57
1991-04-01,124.81
1991-07-01,124.89
1991-10-01,127.72
1992-01-01,129.63
1992-04-01,131.66
1992-07-01,133.87
1992-10-01,137.39
1993-01-01,140.36
1993-04-01,144.78
1993-07-01,150.01
1993-10-01,155.58
1994-01-01,161.86
1994-04-01,170.82
1994-07-01,176.58
1994-10-01,179.7
1995-01-01,184.36
1995-04-01,189.51
1995-07-01,195.99
1995-10-01,200.05
1996-01-01,204.66
1996-04-01,207.05
1996-07-01,210.58
1996-10-01,214.38
1997-01-01,217.95
1997-04-01,219.18
1997-07-01,223.46
1997-10-01,227.38
1998-01-01,230.04
1998-04-01,232.24
1998-07-01,234.47
1998-10-01,236.71
1999-01-01,237.99
1999-04-01,237.04
1999-07-01,234.32
1999-10-01,235.38
2000-01-01,236.49
2000-04-01,236.47
2000-07-01,238.97
2000-10-01,242.32
2001-01-01,247.74
2001-04-01,248.3
2001-07-01,248.51
2001-10-01,251.11
2002-01-01,250.67
2002-04-01,250.18
2002-07-01,253.32
2002-10-01,254.66
2003-01-01,255.31
2003-04-01,256.26
2003-07-01,256.98
2003-10-01,257.17
2004-01-01,259.68
2004-04-01,262.11
2004-07-01,265.45
2004-10-01,270.65
2005-01-01,275.6
2005-04-01,284.32
2005-07-01,294.87
2005-10-01,304.63
2006-01-01,315.02
2006-04-01,328.26
2006-07-01,342.79
2006-10-01,355.82
2007-01-01,366.71
2007-04-01,375.65
2007-07-01,380.31
2007-10-01,383.28
2008-01-01,382.32
2008-04-01,376.19
2008-07-01,364.8
2008-10-01,363.96
2009-01-01,361.08
2009-04-01,347.39
2009-07-01,332.67
2009-10-01,328.75
2010-01-01,323.79
2010-04-01,319.13
2010-07-01,321.83
2010-10-01,320.13
2011-01-01,305.88
2011-04-01,299.29
2011-07-01,304.77
2011-10-01,306.17
2012-01-01,305.45
2012-04-01,303.82
2012-07-01,310.23
2012-10-01,315.61
2013-01-01,318.37
2013-04-01,327.35
2013-07-01,334.96
2013-10-01,339.32
2014-01-01,341.4
2014-04-01,347.84
2014-07-01,351.72
2014-10-01,355.83
2015-01-01,359.35
2015-04-01,365.3
2015-07-01,372.47
2015-10-01,377.47
2016-01-01,383.02
2016-04-01,391.67
2016-07-01,400.81
2016-10-01,405.52
2017-01-01,412.68
2017-04-01,426.3
2017-07-01,436.22
2017-10-01,442.15
2018-01-01,451.24
2018-04-01,466.42
2018-07-01,476.05
2018-10-01,482.22
2019-01-01,490.52
2019-04-01,500.45
2019-07-01,508.57
2019-10-01,516.03
2020-01-01,522.87
2020-04-01,532.32
2020-07-01,545.1
2020-10-01,564.13
2021-01-01,587.12
2021-04-01,644.36
2021-07-01,693.6
2021-10-01,719.21
2022-01-01,753.74
2022-04-01,812.58
