DATE,VTSTHPI
1975-01-01,77.36
1975-04-01,76.95
1975-07-01,67.14
1975-10-01,72.72
1976-01-01,117.02
1976-04-01,57.53
1976-07-01,81.22
1976-10-01,79.59
1977-01-01,115.03
1977-04-01,82.31
1977-07-01,76.28
1977-10-01,76.83
1978-01-01,90.8
1978-04-01,92.02
1978-07-01,99.57
1978-10-01,88.57
1979-01-01,94.52
1979-04-01,87.5
1979-07-01,95.55
1979-10-01,108.98
1980-01-01,100.00
1980-04-01,101.05
1980-07-01,103.8
1980-10-01,110.33
1981-01-01,110.45
1981-04-01,108.36
1981-07-01,101.27
1981-10-01,62.93
1982-01-01,122.31
1982-04-01,116.95
1982-07-01,108.22
1982-10-01,113.98
1983-01-01,118.28
1983-04-01,112.62
1983-07-01,118.72
1983-10-01,123.46
1984-01-01,121.71
1984-04-01,123.88
1984-07-01,126.21
1984-10-01,126.96
1985-01-01,129.55
1985-04-01,134.3
1985-07-01,136.2
1985-10-01,139.06
1986-01-01,144.38
1986-04-01,146.58
1986-07-01,152.34
1986-10-01,158.45
1987-01-01,163.37
1987-04-01,168.8
1987-07-01,173.48
1987-10-01,181.55
1988-01-01,186.74
1988-04-01,194.82
1988-07-01,201.14
1988-10-01,203.3
1989-01-01,206.71
1989-04-01,211.95
1989-07-01,216.29
1989-10-01,217.51
1990-01-01,215.43
1990-04-01,216.86
1990-07-01,214.84
1990-10-01,216.25
1991-01-01,213.22
1991-04-01,213.66
1991-07-01,213.03
1991-10-01,213.76
1992-01-01,213.88
1992-04-01,214.51
1992-07-01,216.44
1992-10-01,216.73
1993-01-01,215.92
1993-04-01,217.21
1993-07-01,217.57
1993-10-01,218.78
1994-01-01,219.43
1994-04-01,217.1
1994-07-01,217.47
1994-10-01,217.42
1995-01-01,215.07
1995-04-01,220.31
1995-07-01,220.48
1995-10-01,221.78
1996-01-01,225.56
1996-04-01,222.12
1996-07-01,220.82
1996-10-01,220.91
1997-01-01,225.14
1997-04-01,222.43
1997-07-01,225.23
1997-10-01,225.39
1998-01-01,228.71
1998-04-01,228.77
1998-07-01,229.37
1998-10-01,232.67
1999-01-01,235.09
1999-04-01,236.85
1999-07-01,241.92
1999-10-01,245.07
2000-01-01,250.43
2000-04-01,254.32
2000-07-01,259.65
2000-10-01,264.42
2001-01-01,268.91
2001-04-01,274.19
2001-07-01,280.8
2001-10-01,284.17
2002-01-01,290.01
2002-04-01,296.64
2002-07-01,301.77
2002-10-01,304.42
2003-01-01,307.85
2003-04-01,312.92
2003-07-01,321.16
2003-10-01,337.69
2004-01-01,342.18
2004-04-01,352.27
2004-07-01,374.78
2004-10-01,382.29
2005-01-01,393.96
2005-04-01,407.35
2005-07-01,422.09
2005-10-01,430.77
2006-01-01,436.54
2006-04-01,446.54
2006-07-01,448.26
2006-10-01,455.22
2007-01-01,458.48
2007-04-01,458.16
2007-07-01,458.89
2007-10-01,457.25
2008-01-01,463.64
2008-04-01,457.51
2008-07-01,454.38
2008-10-01,453.69
2009-01-01,454.16
2009-04-01,447.82
2009-07-01,444.99
2009-10-01,441.13
2010-01-01,440.81
2010-04-01,439.74
2010-07-01,440.52
2010-10-01,441.91
2011-01-01,438.93
2011-04-01,433.47
2011-07-01,434.54
2011-10-01,440.2
2012-01-01,438.54
2012-04-01,436.59
2012-07-01,437.87
2012-10-01,438.01
2013-01-01,439.82
2013-04-01,435.94
2013-07-01,437.66
2013-10-01,436.35
2014-01-01,433.07
2014-04-01,438.28
2014-07-01,439.46
2014-10-01,438.69
2015-01-01,442.55
2015-04-01,447.16
2015-07-01,446.5
2015-10-01,445.32
2016-01-01,444.64
2016-04-01,451.18
2016-07-01,455.92
2016-10-01,454.66
2017-01-01,456.19
2017-04-01,460.96
2017-07-01,461.7
2017-10-01,468.58
2018-01-01,470.93
2018-04-01,477.13
2018-07-01,478.05
2018-10-01,477.12
2019-01-01,481.89
2019-04-01,492.32
2019-07-01,499.59
2019-10-01,500.2
2020-01-01,507.86
2020-04-01,510.33
2020-07-01,521.43
2020-10-01,535.98
2021-01-01,549.78
2021-04-01,575.45
2021-07-01,611.84
2021-10-01,630.3
2022-01-01,647.35
2022-04-01,694.08
