DATE,WASTHPI
1975-01-01,46.22
1975-04-01,47.17
1975-07-01,49.7
1975-10-01,48.04
1976-01-01,50.32
1976-04-01,53.6
1976-07-01,56.58
1976-10-01,57.76
1977-01-01,59.75
1977-04-01,62.9
1977-07-01,67.27
1977-10-01,70.79
1978-01-01,74.31
1978-04-01,79.67
1978-07-01,84.0
1978-10-01,86.85
1979-01-01,88.94
1979-04-01,93.85
1979-07-01,95.87
1979-10-01,98.01
1980-01-01,100.00
1980-04-01,100.19
1980-07-01,103.51
1980-10-01,101.84
1981-01-01,99.87
1981-04-01,104.12
1981-07-01,105.23
1981-10-01,103.67
1982-01-01,86.62
1982-04-01,93.44
1982-07-01,93.78
1982-10-01,103.53
1983-01-01,104.74
1983-04-01,104.65
1983-07-01,103.96
1983-10-01,104.91
1984-01-01,106.8
1984-04-01,107.48
1984-07-01,109.29
1984-10-01,110.04
1985-01-01,110.51
1985-04-01,110.9
1985-07-01,111.58
1985-10-01,112.11
1986-01-01,113.45
1986-04-01,114.19
1986-07-01,114.72
1986-10-01,115.92
1987-01-01,117.07
1987-04-01,118.07
1987-07-01,118.91
1987-10-01,119.65
1988-01-01,121.96
1988-04-01,123.77
1988-07-01,126.32
1988-10-01,127.85
1989-01-01,132.22
1989-04-01,137.88
1989-07-01,144.43
1989-10-01,153.15
1990-01-01,164.24
1990-04-01,173.54
1990-07-01,176.39
1990-10-01,177.65
1991-01-01,181.92
1991-04-01,183.55
1991-07-01,184.29
1991-10-01,188.16
1992-01-01,189.05
1992-04-01,190.79
1992-07-01,193.36
1992-10-01,195.36
1993-01-01,196.22
1993-04-01,198.35
1993-07-01,201.05
1993-10-01,203.32
1994-01-01,205.86
1994-04-01,209.7
1994-07-01,211.04
1994-10-01,210.45
1995-01-01,212.58
1995-04-01,214.97
1995-07-01,218.13
1995-10-01,219.88
1996-01-01,221.87
1996-04-01,222.1
1996-07-01,223.31
1996-10-01,225.19
1997-01-01,226.72
1997-04-01,229.68
1997-07-01,234.43
1997-10-01,237.54
1998-01-01,242.15
1998-04-01,245.68
1998-07-01,250.26
1998-10-01,253.09
1999-01-01,255.48
1999-04-01,259.9
1999-07-01,262.87
1999-10-01,264.95
2000-01-01,269.6
2000-04-01,272.38
2000-07-01,276.03
2000-10-01,279.58
2001-01-01,286.38
2001-04-01,290.25
2001-07-01,293.2
2001-10-01,295.14
2002-01-01,298.76
2002-04-01,302.37
2002-07-01,306.06
2002-10-01,308.66
2003-01-01,311.2
2003-04-01,313.86
2003-07-01,317.77
2003-10-01,325.82
2004-01-01,330.77
2004-04-01,340.64
2004-07-01,354.86
2004-10-01,363.05
2005-01-01,374.68
2005-04-01,394.65
2005-07-01,412.18
2005-10-01,429.43
2006-01-01,444.76
2006-04-01,460.14
2006-07-01,473.72
2006-10-01,483.91
2007-01-01,492.6
2007-04-01,498.18
2007-07-01,499.48
2007-10-01,502.24
2008-01-01,500.9
2008-04-01,491.04
2008-07-01,476.47
2008-10-01,471.44
2009-01-01,467.75
2009-04-01,447.8
2009-07-01,432.95
2009-10-01,427.12
2010-01-01,419.73
2010-04-01,414.93
2010-07-01,414.81
2010-10-01,407.43
2011-01-01,393.77
2011-04-01,383.8
2011-07-01,384.98
2011-10-01,385.32
2012-01-01,379.11
2012-04-01,375.87
2012-07-01,382.71
2012-10-01,387.35
2013-01-01,390.1
2013-04-01,397.31
2013-07-01,405.7
2013-10-01,409.67
2014-01-01,414.14
2014-04-01,425.08
2014-07-01,434.36
2014-10-01,438.7
2015-01-01,444.65
2015-04-01,457.73
2015-07-01,470.47
2015-10-01,478.45
2016-01-01,487.96
2016-04-01,505.37
2016-07-01,520.73
2016-10-01,528.12
2017-01-01,537.61
2017-04-01,558.69
2017-07-01,575.18
2017-10-01,583.64
2018-01-01,597.36
2018-04-01,618.46
2018-07-01,625.62
2018-10-01,627.06
2019-01-01,635.77
2019-04-01,648.58
2019-07-01,656.92
2019-10-01,664.36
2020-01-01,675.71
2020-04-01,686.05
2020-07-01,701.54
2020-10-01,720.19
2021-01-01,741.63
2021-04-01,798.35
2021-07-01,844.58
2021-10-01,872.68
2022-01-01,911.44
2022-04-01,976.72
