DATE,WVSTHPI
1975-01-01,50.19
1975-04-01,65.43
1975-07-01,66.17
1975-10-01,66.77
1976-01-01,61.5
1976-04-01,66.22
1976-07-01,69.7
1976-10-01,62.99
1977-01-01,68.04
1977-04-01,85.24
1977-07-01,73.03
1977-10-01,85.57
1978-01-01,84.22
1978-04-01,80.43
1978-07-01,83.17
1978-10-01,85.42
1979-01-01,83.09
1979-04-01,88.79
1979-07-01,89.09
1979-10-01,94.94
1980-01-01,100.00
1980-04-01,105.01
1980-07-01,102.72
1980-10-01,117.51
1981-01-01,99.16
1981-04-01,95.07
1981-07-01,109.56
1981-10-01,108.5
1982-01-01,68.85
1982-04-01,113.89
1982-07-01,83.4
1982-10-01,86.71
1983-01-01,98.3
1983-04-01,92.07
1983-07-01,93.25
1983-10-01,92.12
1984-01-01,98.0
1984-04-01,93.42
1984-07-01,94.31
1984-10-01,87.1
1985-01-01,91.9
1985-04-01,95.34
1985-07-01,92.77
1985-10-01,88.43
1986-01-01,95.52
1986-04-01,96.51
1986-07-01,95.71
1986-10-01,98.22
1987-01-01,97.1
1987-04-01,98.83
1987-07-01,95.79
1987-10-01,97.61
1988-01-01,96.47
1988-04-01,99.8
1988-07-01,98.96
1988-10-01,97.87
1989-01-01,98.91
1989-04-01,101.47
1989-07-01,101.35
1989-10-01,101.05
1990-01-01,102.26
1990-04-01,101.98
1990-07-01,105.1
1990-10-01,103.81
1991-01-01,104.09
1991-04-01,107.47
1991-07-01,106.29
1991-10-01,109.16
1992-01-01,109.49
1992-04-01,111.48
1992-07-01,112.68
1992-10-01,113.94
1993-01-01,114.7
1993-04-01,116.28
1993-07-01,118.81
1993-10-01,119.18
1994-01-01,121.46
1994-04-01,123.13
1994-07-01,124.82
1994-10-01,124.67
1995-01-01,126.05
1995-04-01,128.51
1995-07-01,130.97
1995-10-01,131.23
1996-01-01,133.03
1996-04-01,133.78
1996-07-01,134.24
1996-10-01,134.4
1997-01-01,135.35
1997-04-01,137.67
1997-07-01,138.17
1997-10-01,140.18
1998-01-01,143.15
1998-04-01,143.13
1998-07-01,145.19
1998-10-01,146.77
1999-01-01,147.63
1999-04-01,147.19
1999-07-01,147.63
1999-10-01,146.46
2000-01-01,147.87
2000-04-01,148.83
2000-07-01,150.14
2000-10-01,151.4
2001-01-01,155.75
2001-04-01,157.29
2001-07-01,158.05
2001-10-01,159.58
2002-01-01,160.47
2002-04-01,162.3
2002-07-01,163.65
2002-10-01,166.08
2003-01-01,166.45
2003-04-01,168.17
2003-07-01,170.46
2003-10-01,172.06
2004-01-01,174.86
2004-04-01,178.24
2004-07-01,181.44
2004-10-01,184.73
2005-01-01,188.98
2005-04-01,194.89
2005-07-01,201.59
2005-10-01,204.35
2006-01-01,208.54
2006-04-01,206.6
2006-07-01,209.35
2006-10-01,211.67
2007-01-01,213.02
2007-04-01,212.68
2007-07-01,213.07
2007-10-01,214.78
2008-01-01,215.03
2008-04-01,214.51
2008-07-01,210.95
2008-10-01,209.08
2009-01-01,212.49
2009-04-01,209.89
2009-07-01,205.82
2009-10-01,204.83
2010-01-01,204.96
2010-04-01,204.46
2010-07-01,205.73
2010-10-01,207.22
2011-01-01,202.74
2011-04-01,199.74
2011-07-01,203.06
2011-10-01,204.21
2012-01-01,202.4
2012-04-01,202.96
2012-07-01,204.01
2012-10-01,204.72
2013-01-01,204.22
2013-04-01,205.24
2013-07-01,207.19
2013-10-01,209.05
2014-01-01,208.25
2014-04-01,209.52
2014-07-01,211.85
2014-10-01,212.33
2015-01-01,211.8
2015-04-01,217.17
2015-07-01,215.78
2015-10-01,216.87
2016-01-01,218.14
2016-04-01,218.64
2016-07-01,220.12
2016-10-01,221.56
2017-01-01,219.03
2017-04-01,220.85
2017-07-01,221.92
2017-10-01,225.35
2018-01-01,224.78
2018-04-01,228.55
2018-07-01,228.06
2018-10-01,227.45
2019-01-01,228.16
2019-04-01,231.57
2019-07-01,233.99
2019-10-01,236.38
2020-01-01,237.59
2020-04-01,240.05
2020-07-01,244.31
2020-10-01,247.6
2021-01-01,252.13
2021-04-01,258.62
2021-07-01,271.98
2021-10-01,279.75
2022-01-01,283.32
2022-04-01,296.86
